chrysemys_picta ENSCPBG00000003133
chelonoidis_abingdonii ENSCABG00000004057
pelodiscus_sinensis ENSPSIG00000016036
anser_brachyrhynchus ENSABRG00000013910
anas_platyrhynchos ENSAPLG00000003779
gallus_gallus ENSGALG00000006682
coturnix_japonica ENSCJPG00005004636
meleagris_gallopavo ENSMGAG00000004840
numida_meleagris ENSNMEG00000003296
melopsittacus_undulatus ENSMUNG00000015054
calidris_pygmaea ENSCPGG00000001020
taeniopygia_guttata ENSTGUG00000002282
lonchura_striata ENSLSDG00000003841
junco_hyemalis ENSJHYG00000001619
zonotrichia_albicollis ENSZALG00000012293
ficedula_albicollis ENSFALG00000001911
parus_major ENSPMJG00000001661
lepidothrix_coronata ENSLCOG00000009726
apteryx_owenii ENSAOWG00000003901
apteryx_haastii ENSAHAG00000014221
dromaius_novaehollandiae ENSDNVG00000011427
pogona_vitticeps ENSPVIG00000013497
anolis_carolinensis ENSACAG00000000900
salvator_merianae ENSSMRG00000011906
sphenodon_punctatus ENSSPUG00000002633
vombatus_ursinus ENSVURG00010013875
phascolarctos_cinereus ENSPCIG00000006593
monodelphis_domestica ENSMODG00000016875
mus_musculus ENSMUSG00000048186
mus_spretus MGP_SPRETEiJ_G0024062
mus_caroli MGP_CAROLIEiJ_G0023144
mus_pahari MGP_PahariEiJ_G0019204
cricetulus_griseus ENSCGRG00015020878
heterocephalus_glaber ENSHGLG00000019026
marmota_marmota ENSMMMG00000023592
spermophilus_dauricus ENSSDAG00000000614
urocitellus_parryii ENSUPAG00010006745
otolemur_garnettii ENSOGAG00000010676
prolemur_simus ENSPSMG00000020929
callithrix_jacchus ENSCJAG00000009474
capra_hircus ENSCHIG00000018500
tursiops_truncatus ENSTTRG00000011116
sus_scrofa ENSSSCG00000032984
vicugna_pacos ENSVPAG00000011485
felis_catus ENSFCAG00000004435
loxodonta_africana ENSLAFG00000013563
xenopus_tropicalis ENSXETG00000004885
latimeria_chalumnae ENSLACG00000003216
scleropages_formosus ENSSFOG00015022089
scleropages_formosus ENSSFOG00015000219
clupea_harengus ENSCHAG00000025503
denticeps_clupeoides ENSDCDG00000025125
astyanax_mexicanus ENSAMXG00005013927
astyanax_mexicanus ENSAMXG00000012858
pygocentrus_nattereri ENSPNAG00000023186
ictalurus_punctatus ENSIPUG00000007528
electrophorus_electricus ENSEEEG00000007372
danio_rerio ENSDARG00000063186
hucho_hucho ENSHHUG00000008311
esox_lucius ENSELUG00000022284
seriola_lalandi ENSSLDG00000023979
seriola_dumerili ENSSDUG00000015398
stegastes_partitus ENSSPAG00000019476
takifugu_rubripes ENSTRUG00000011410
tetraodon_nigroviridis ENSTNIG00000017943
mola_mola ENSMMOG00000013009
anabas_testudineus ENSATEG00000000359
mastacembelus_armatus ENSMAMG00000006575
lates_calcarifer ENSLCAG00010012778
labrus_bergylta ENSLBEG00000028471
betta_splendens ENSBSLG00000022753
cottoperca_gobio ENSCGOG00000015316
gasterosteus_aculeatus ENSGACG00000012275
larimichthys_crocea ENSLCRG00005013977
monopterus_albus ENSMALG00000005506
amphiprion_ocellaris ENSAOCG00000006527
amphiprion_percula ENSAPEG00000004360
acanthochromis_polyacanthus ENSAPOG00000024112
parambassis_ranga ENSPRNG00000009397
poecilia_mexicana ENSPMEG00000005146
poecilia_latipinna ENSPLAG00000016123
poecilia_reticulata ENSPREG00000015196
poecilia_formosa ENSPFOG00000017633
gambusia_affinis ENSGAFG00000006011
xiphophorus_maculatus ENSXMAG00000004699
xiphophorus_couchianus ENSXCOG00000020413
fundulus_heteroclitus ENSFHEG00000020087
cyprinodon_variegatus ENSCVAG00000012341
kryptolebias_marmoratus ENSKMAG00000012182
oryzias_latipes ENSORLG00015013737
oryzias_latipes ENSORLG00020001540
oryzias_latipes ENSORLG00000010267
oryzias_melastigma ENSOMEG00000009125
astatotilapia_calliptera ENSACLG00000026275
haplochromis_burtoni ENSHBUG00000010273
oreochromis_niloticus ENSONIG00000014859
maylandia_zebra ENSMZEG00005019404
neolamprologus_brichardi ENSNBRG00000001752
pundamilia_nyererei ENSPNYG00000003605
amphilophus_citrinellus ENSACIG00000001044
scophthalmus_maximus ENSSMAG00000005284
periophthalmus_magnuspinnatus ENSPMGG00000016311
gadus_morhua ENSGMOG00000012213
lepisosteus_oculatus ENSLOCG00000016737
callorhinchus_milii ENSCMIG00000014082
