chinchilla_lanigera ENSCLAG00000007880
octodon_degus ENSODEG00000014726
cavia_porcellus ENSCPOG00000024726
heterocephalus_glaber_male ENSHGLG00100014287
fukomys_damarensis ENSFDAG00000006647
urocitellus_parryii ENSUPAG00010006615
spermophilus_dauricus ENSSDAG00000017959
marmota_marmota_marmota ENSMMMG00000005762
castor_canadensis ENSCCNG00000027864
dipodomys_ordii ENSDORG00000023974
cricetulus_griseus_crigri ENSCGRG00000004432
cricetulus_griseus_chok1gshd ENSCGRG00001018940
cricetulus_griseus_crigri-picr ENSCGRG00015016783
mesocricetus_auratus ENSMAUG00000016636
microtus_ochrogaster ENSMOCG00000000343
peromyscus_maniculatus_bairdii ENSPEMG00000003300
mus_spicilegus ENSMSIG00000019149
mus_musculus ENSMUSG00000022603
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020768
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019870
mus_pahari MGP_PahariEiJ_G0019876
meriones_unguiculatus ENSMUGG00000009440
jaculus_jaculus ENSJJAG00000019992
mustela_putorius_furo ENSMPUG00000002086
prolemur_simus ENSPSMG00000021356
otolemur_garnettii ENSOGAG00000032183
capra_hircus ENSCHIG00000009651
ovis_aries ENSOARG00000001915
bos_taurus ENSBTAG00000026340
bos_mutus ENSBMUG00000011367
bison_bison_bison ENSBBBG00000020151
sus_scrofa ENSSSCG00000033726
equus_caballus ENSECAG00000021955
equus_asinus_asinus ENSEASG00005021088
ailuropoda_melanoleuca ENSAMEG00000001467
ursus_americanus ENSUAMG00000027778
neovison_vison ENSNVIG00000014885
mustela_putorius_furo ENSMPUG00000002087
canis_lupus_familiaris ENSCAFG00000001272
canis_lupus_dingo ENSCAFG00020018522
vulpes_vulpes ENSVVUG00000013942
felis_catus ENSFCAG00000028159
panthera_pardus ENSPPRG00000005979
dasypus_novemcinctus ENSDNOG00000047720
loxodonta_africana ENSLAFG00000027760
sarcophilus_harrisii ENSSHAG00000017159
phascolarctos_cinereus ENSPCIG00000029538
monodelphis_domestica ENSMODG00000000048
ornithorhynchus_anatinus ENSOANG00000014078
