electrophorus_electricus ENSEEEG00000013916
danio_rerio ENSDARG00000038386
clupea_harengus ENSCHAG00000004363
hucho_hucho ENSHHUG00000018939
hucho_hucho ENSHHUG00000000710
esox_lucius ENSELUG00000003258
gasterosteus_aculeatus ENSGACG00000020048
labrus_bergylta ENSLBEG00000009122
scophthalmus_maximus ENSSMAG00000005248
maylandia_zebra ENSMZEG00005001134
haplochromis_burtoni ENSHBUG00000008452
pundamilia_nyererei ENSPNYG00000021891
neolamprologus_brichardi ENSNBRG00000011381
oreochromis_niloticus ENSONIG00000021219
cottoperca_gobio ENSCGOG00000022495
mola_mola ENSMMOG00000007056
seriola_dumerili ENSSDUG00000016538
seriola_lalandi ENSSLDG00000004770
lates_calcarifer ENSLCAG00010026942
betta_splendens ENSBSLG00000006101
amphiprion_ocellaris ENSAOCG00000006977
amphiprion_percula ENSAPEG00000021889
acanthochromis_polyacanthus ENSAPOG00000018498
amphilophus_citrinellus ENSACIG00000013500
parambassis_ranga ENSPRNG00000010058
anabas_testudineus ENSATEG00000022825
larimichthys_crocea ENSLCRG00005015517
poecilia_latipinna ENSPLAG00000015417
poecilia_reticulata ENSPREG00000006969
poecilia_formosa ENSPFOG00000018073
xiphophorus_maculatus ENSXMAG00000019614
gambusia_affinis ENSGAFG00000016263
fundulus_heteroclitus ENSFHEG00000003373
cyprinodon_variegatus ENSCVAG00000015813
kryptolebias_marmoratus ENSKMAG00000013228
oryzias_latipes ENSORLG00020008471
oryzias_latipes ENSORLG00000016504
oryzias_melastigma ENSOMEG00000003274
stegastes_partitus ENSSPAG00000003572
gouania_willdenowi ENSGWIG00000001089
monopterus_albus ENSMALG00000007963
takifugu_rubripes ENSTRUG00000012801
cynoglossus_semilaevis ENSCSEG00000004639
mastacembelus_armatus ENSMAMG00000016256
periophthalmus_magnuspinnatus ENSPMGG00000023530
oryzias_latipes ENSORLG00015007657
poecilia_mexicana ENSPMEG00000015392
astatotilapia_calliptera ENSACLG00000016598
hippocampus_comes ENSHCOG00000018503
astyanax_mexicanus ENSAMXG00000014210
astyanax_mexicanus ENSAMXG00005009812
pygocentrus_nattereri ENSPNAG00000004551
denticeps_clupeoides ENSDCDG00000021754
ictalurus_punctatus ENSIPUG00000024104
gadus_morhua ENSGMOG00000002268
paramormyrops_kingsleyae ENSPKIG00000006153
