xiphophorus_maculatus ENSXMAG00000021627
xiphophorus_couchianus ENSXCOG00000013021
oreochromis_niloticus ENSONIG00000012413
haplochromis_burtoni ENSHBUG00000016372
seriola_lalandi_dorsalis ENSSLDG00000013845
maylandia_zebra ENSMZEG00005016108
poecilia_mexicana ENSPMEG00000006338
poecilia_mexicana ENSPMEG00000000310
poecilia_formosa ENSPFOG00000023125
poecilia_formosa ENSPFOG00000022300
oryzias_latipes ENSORLG00000017327
maylandia_zebra ENSMZEG00005020980
astatotilapia_calliptera ENSACLG00000010784
haplochromis_burtoni ENSHBUG00000006425
oreochromis_niloticus ENSONIG00000016987
kryptolebias_marmoratus ENSKMAG00000001476
amphiprion_percula ENSAPEG00000023821
acanthochromis_polyacanthus ENSAPOG00000000919
hippocampus_comes ENSHCOG00000006117
gasterosteus_aculeatus ENSGACG00000001068
scophthalmus_maximus ENSSMAG00000009038
scleropages_formosus ENSSFOG00015017995
