scleropages_formosus ENSSFOG00015002327
paramormyrops_kingsleyae ENSPKIG00000007841
astyanax_mexicanus ENSAMXG00000043710
pygocentrus_nattereri ENSPNAG00000004687
ictalurus_punctatus ENSIPUG00000023091
danio_rerio ENSDARG00000025566
esox_lucius ENSELUG00000011737
esox_lucius ENSELUG00000008650
amphiprion_percula ENSAPEG00000001770
amphiprion_ocellaris ENSAOCG00000010472
acanthochromis_polyacanthus ENSAPOG00000023827
stegastes_partitus ENSSPAG00000008655
monopterus_albus ENSMALG00000004577
astatotilapia_calliptera ENSACLG00000021624
pundamilia_nyererei ENSPNYG00000016123
haplochromis_burtoni ENSHBUG00000001368
maylandia_zebra ENSMZEG00005016106
neolamprologus_brichardi ENSNBRG00000021063
oreochromis_niloticus ENSONIG00000001712
amphilophus_citrinellus ENSACIG00000020954
mastacembelus_armatus ENSMAMG00000023281
mola_mola ENSMMOG00000007296
cynoglossus_semilaevis ENSCSEG00000016037
poecilia_formosa ENSPFOG00000016010
poecilia_reticulata ENSPREG00000012288
xiphophorus_couchianus ENSXCOG00000016104
poecilia_latipinna ENSPLAG00000017939
poecilia_mexicana ENSPMEG00000015458
gambusia_affinis ENSGAFG00000005538
xiphophorus_maculatus ENSXMAG00000021277
fundulus_heteroclitus ENSFHEG00000014501
kryptolebias_marmoratus ENSKMAG00000011473
tetraodon_nigroviridis ENSTNIG00000007238
takifugu_rubripes ENSTRUG00000010834
seriola_lalandi_dorsalis ENSSLDG00000014102
seriola_dumerili ENSSDUG00000019026
scophthalmus_maximus ENSSMAG00000015058
oryzias_latipes ENSORLG00000009980
oryzias_latipes ENSORLG00020000058
oryzias_latipes_asm223469v1 ENSORLG00015001533
oryzias_melastigma ENSOMEG00000014696
labrus_bergylta ENSLBEG00000023918
hippocampus_comes ENSHCOG00000012567
gasterosteus_aculeatus ENSGACG00000001109
gadus_morhua ENSGMOG00000001907
cyprinodon_variegatus ENSCVAG00000021540
periophthalmus_magnuspinnatus ENSPMGG00000007339
pygocentrus_nattereri ENSPNAG00000016036
astyanax_mexicanus ENSAMXG00000007625
ictalurus_punctatus ENSIPUG00000024140
danio_rerio ENSDARG00000027424
lepisosteus_oculatus ENSLOCG00000015447
calidris_pygmaea ENSCPGG00000004803
calidris_pugnax ENSCPUG00000002512
taeniopygia_guttata ENSTGUG00000008739
lonchura_striata_domestica ENSLSDG00000016506
lepidothrix_coronata ENSLCOG00000008161
parus_major ENSPMJG00000012937
junco_hyemalis ENSJHYG00000012209
melopsittacus_undulatus ENSMUNG00000005070
anas_platyrhynchos_platyrhynchos ENSAPLG00000020761
anser_brachyrhynchus ENSABRG00000012730
meleagris_gallopavo ENSMGAG00000011563
coturnix_japonica ENSCJPG00005005099
gallus_gallus ENSGALG00000011514
numida_meleagris ENSNMEG00000007955
apteryx_rowi ENSARWG00000008743
apteryx_haastii ENSAHAG00000000461
apteryx_owenii ENSAOWG00000014172
dromaius_novaehollandiae ENSDNVG00000011121
nothoprocta_perdicaria ENSNPEG00000007759
taeniopygia_guttata ENSTGUG00000014758
zonotrichia_albicollis ENSZALG00000010674
serinus_canaria ENSSCAG00000007005
manacus_vitellinus ENSMVIG00005001961
cyanistes_caeruleus ENSCCEG00000019445
ficedula_albicollis ENSFALG00000010982
crocodylus_porosus ENSCPRG00005019135
chelonoidis_abingdonii ENSCABG00000004401
gopherus_agassizii ENSGAGG00000016690
chrysemys_picta_bellii ENSCPBG00000004261
pelodiscus_sinensis ENSPSIG00000012357
sphenodon_punctatus ENSSPUG00000000127
anolis_carolinensis ENSACAG00000013232
pogona_vitticeps ENSPVIG00000015718
notechis_scutatus ENSNSUG00000017119
salvator_merianae ENSSMRG00000004954
salvator_merianae ENSSMRG00000000585
salvator_merianae ENSSMRG00000011468
cricetulus_griseus_chok1gshd ENSCGRG00001015631
cricetulus_griseus_crigri ENSCGRG00000011769
mesocricetus_auratus ENSMAUG00000017601
microtus_ochrogaster ENSMOCG00000011110
peromyscus_maniculatus_bairdii ENSPEMG00000007546
mus_spicilegus ENSMSIG00000023667
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016543
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015725
mus_pahari MGP_PahariEiJ_G0031360
rattus_norvegicus ENSRNOG00000008289
meriones_unguiculatus ENSMUGG00000023331
jaculus_jaculus ENSJJAG00000013339
dipodomys_ordii ENSDORG00000011431
ochotona_princeps ENSOPRG00000006727
heterocephalus_glaber_female ENSHGLG00000008601
heterocephalus_glaber_male ENSHGLG00100009653
fukomys_damarensis ENSFDAG00000021437
chinchilla_lanigera ENSCLAG00000007243
cavia_porcellus ENSCPOG00000011606
castor_canadensis ENSCCNG00000026282
pteropus_vampyrus ENSPVAG00000005890
equus_asinus_asinus ENSEASG00005019560
bos_mutus ENSBMUG00000005388
bos_taurus ENSBTAG00000012890
bison_bison_bison ENSBBBG00000016783
capra_hircus ENSCHIG00000026853
tursiops_truncatus ENSTTRG00000004739
