taeniopygia_guttata ENSTGUG00000003091
lonchura_striata_domestica ENSLSDG00000005207
junco_hyemalis ENSJHYG00000014971
serinus_canaria ENSSCAG00000017361
zonotrichia_albicollis ENSZALG00000013919
ficedula_albicollis ENSFALG00000001810
cyanistes_caeruleus ENSCCEG00000012123
parus_major ENSPMJG00000009155
lepidothrix_coronata ENSLCOG00000002081
manacus_vitellinus ENSMVIG00005008195
anser_brachyrhynchus ENSABRG00000018982
anas_platyrhynchos_platyrhynchos ENSAPLG00000020223
gallus_gallus ENSGALG00000042318
coturnix_japonica ENSCJPG00005014288
meleagris_gallopavo ENSMGAG00000002624
numida_meleagris ENSNMEG00000015607
calidris_pygmaea ENSCPGG00000012298
calidris_pugnax ENSCPUG00000011292
melopsittacus_undulatus ENSMUNG00000011817
dromaius_novaehollandiae ENSDNVG00000017303
nothoprocta_perdicaria ENSNPEG00000001062
crocodylus_porosus ENSCPRG00005005572
gopherus_agassizii ENSGAGG00000022104
chelonoidis_abingdonii ENSCABG00000009666
chelonoidis_abingdonii ENSCABG00000009669
chrysemys_picta_bellii ENSCPBG00000016766
pelodiscus_sinensis ENSPSIG00000009697
pogona_vitticeps ENSPVIG00000020696
anolis_carolinensis ENSACAG00000004822
salvator_merianae ENSSMRG00000004017
