astatotilapia_calliptera ENSACLG00000001207
maylandia_zebra ENSMZEG00005013672
pundamilia_nyererei ENSPNYG00000011123
haplochromis_burtoni ENSHBUG00000001464
neolamprologus_brichardi ENSNBRG00000017782
parambassis_ranga ENSPRNG00000019263
cottoperca_gobio ENSCGOG00000019635
scophthalmus_maximus ENSSMAG00000000758
larimichthys_crocea ENSLCRG00005000216
seriola_lalandi ENSSLDG00000020905
lates_calcarifer ENSLCAG00010024800
mola_mola ENSMMOG00000019259
seriola_dumerili ENSSDUG00000006605
labrus_bergylta ENSLBEG00000027682
acanthochromis_polyacanthus ENSAPOG00000011331
stegastes_partitus ENSSPAG00000011692
amphiprion_ocellaris ENSAOCG00000009154
