ursus_maritimus ENSUMAG00000020557
ursus_americanus ENSUAMG00000021595
ailuropoda_melanoleuca ENSAMEG00000019769
neovison_vison ENSNVIG00000006999
mustela_putorius_furo ENSMPUG00000019947
canis_lupus_familiaris ENSCAFG00000006778
canis_lupus_dingo ENSCAFG00020000723
vulpes_vulpes ENSVVUG00000019595
equus_caballus ENSECAG00000003717
equus_asinus_asinus ENSEASG00005017032
myotis_lucifugus ENSMLUG00000013054
bos_mutus ENSBMUG00000010892
bos_taurus ENSBTAG00000047643
bison_bison_bison ENSBBBG00000020727
ovis_aries ENSOARG00000009709
capra_hircus ENSCHIG00000025790
sus_scrofa ENSSSCG00000006972
sorex_araneus ENSSARG00000006064
mus_musculus ENSMUSG00000074384
mus_spicilegus ENSMSIG00000016808
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032103
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030987
mus_pahari MGP_PahariEiJ_G0021455
meriones_unguiculatus ENSMUGG00000025036
cricetulus_griseus_crigri-picr ENSCGRG00015024294
cricetulus_griseus_chok1gshd ENSCGRG00001009617
peromyscus_maniculatus_bairdii ENSPEMG00000026339
castor_canadensis ENSCCNG00000011816
marmota_marmota_marmota ENSMMMG00000008940
spermophilus_dauricus ENSSDAG00000020961
oryctolagus_cuniculus ENSOCUG00000022213
macaca_mulatta ENSMMUG00000005828
cercocebus_atys ENSCATG00000001642
theropithecus_gelada ENSTGEG00000019252
piliocolobus_tephrosceles ENSPTEG00000020108
homo_sapiens ENSG00000164743
pan_troglodytes ENSPTRG00000020010
gorilla_gorilla ENSGGOG00000015649
pongo_abelii ENSPPYG00000018377
carlito_syrichta ENSTSYG00000014003
prolemur_simus ENSPSMG00000006505
otolemur_garnettii ENSOGAG00000014835
echinops_telfairi ENSETEG00000010620
dasypus_novemcinctus ENSDNOG00000017630
sarcophilus_harrisii ENSSHAG00000001502
phascolarctos_cinereus ENSPCIG00000008150
monodelphis_domestica ENSMODG00000001512
monodelphis_domestica ENSMODG00000028633
gopherus_agassizii ENSGAGG00000005264
chelonoidis_abingdonii ENSCABG00000008645
chrysemys_picta_bellii ENSCPBG00000006968
pelodiscus_sinensis ENSPSIG00000017387
apteryx_haastii ENSAHAG00000019143
apteryx_owenii ENSAOWG00000014727
apteryx_rowi ENSARWG00000012522
dromaius_novaehollandiae ENSDNVG00000002265
anser_brachyrhynchus ENSABRG00000019079
anas_platyrhynchos_platyrhynchos ENSAPLG00000020502
pogona_vitticeps ENSPVIG00000005613
