xiphophorus_couchianus ENSXCOG00000015367
xiphophorus_maculatus ENSXMAG00000021260
poecilia_formosa ENSPFOG00000002634
poecilia_mexicana ENSPMEG00000016214
poecilia_latipinna ENSPLAG00000007304
poecilia_reticulata ENSPREG00000012624
gambusia_affinis ENSGAFG00000001024
cyprinodon_variegatus ENSCVAG00000008523
fundulus_heteroclitus ENSFHEG00000020682
kryptolebias_marmoratus ENSKMAG00000019068
oryzias_latipes_asm223469v1 ENSORLG00015013599
oryzias_latipes ENSORLG00000016704
oryzias_latipes ENSORLG00020021003
oryzias_melastigma ENSOMEG00000017097
cynoglossus_semilaevis ENSCSEG00000016647
mastacembelus_armatus ENSMAMG00000016125
monopterus_albus ENSMALG00000019037
seriola_lalandi_dorsalis ENSSLDG00000016059
seriola_dumerili ENSSDUG00000007662
tetraodon_nigroviridis ENSTNIG00000011150
tetraodon_nigroviridis ENSTNIG00000011148
takifugu_rubripes ENSTRUG00000014501
mola_mola ENSMMOG00000009856
gasterosteus_aculeatus ENSGACG00000005907
anabas_testudineus ENSATEG00000015868
labrus_bergylta ENSLBEG00000007155
scophthalmus_maximus ENSSMAG00000001081
hippocampus_comes ENSHCOG00000020098
periophthalmus_magnuspinnatus ENSPMGG00000006499
amphiprion_ocellaris ENSAOCG00000019810
amphiprion_percula ENSAPEG00000018723
acanthochromis_polyacanthus ENSAPOG00000021569
stegastes_partitus ENSSPAG00000014823
astatotilapia_calliptera ENSACLG00000009445
maylandia_zebra ENSMZEG00005024812
astatotilapia_calliptera ENSACLG00000025970
pundamilia_nyererei ENSPNYG00000018240
maylandia_zebra ENSMZEG00005024803
haplochromis_burtoni ENSHBUG00000011107
neolamprologus_brichardi ENSNBRG00000012129
oreochromis_niloticus ENSONIG00000006534
amphilophus_citrinellus ENSACIG00000008673
gadus_morhua ENSGMOG00000015755
esox_lucius ENSELUG00000013472
pygocentrus_nattereri ENSPNAG00000023319
astyanax_mexicanus ENSAMXG00000002480
ictalurus_punctatus ENSIPUG00000014971
danio_rerio ENSDARG00000018002
scleropages_formosus ENSSFOG00015013174
paramormyrops_kingsleyae ENSPKIG00000017987
lepisosteus_oculatus ENSLOCG00000006473
pogona_vitticeps ENSPVIG00000024919
notechis_scutatus ENSNSUG00000003737
salvator_merianae ENSSMRG00000003660
anolis_carolinensis ENSACAG00000022401
meleagris_gallopavo ENSMGAG00000009080
coturnix_japonica ENSCJPG00005016522
gallus_gallus ENSGALG00000031563
numida_meleagris ENSNMEG00000021123
anser_brachyrhynchus ENSABRG00000022829
anas_platyrhynchos_platyrhynchos ENSAPLG00000008466
junco_hyemalis ENSJHYG00000017583
zonotrichia_albicollis ENSZALG00000001194
ficedula_albicollis ENSFALG00000004202
cyanistes_caeruleus ENSCCEG00000008237
lonchura_striata_domestica ENSLSDG00000011988
taeniopygia_guttata ENSTGUG00000004207
serinus_canaria ENSSCAG00000012419
lepidothrix_coronata ENSLCOG00000009641
manacus_vitellinus ENSMVIG00005006142
calidris_pygmaea ENSCPGG00000006198
calidris_pugnax ENSCPUG00000016941
melopsittacus_undulatus ENSMUNG00000005771
dromaius_novaehollandiae ENSDNVG00000000388
nothoprocta_perdicaria ENSNPEG00000009789
apteryx_haastii ENSAHAG00000010243
apteryx_owenii ENSAOWG00000011647
parus_major ENSPMJG00000010209
numida_meleagris ENSNMEG00000021122
apteryx_rowi ENSARWG00000002695
gopherus_agassizii ENSGAGG00000009481
chelonoidis_abingdonii ENSCABG00000016882
chrysemys_picta_bellii ENSCPBG00000011704
pelodiscus_sinensis ENSPSIG00000015551
crocodylus_porosus ENSCPRG00005003269
sphenodon_punctatus ENSSPUG00000000561
capra_hircus ENSCHIG00000009819
ovis_aries ENSOARG00000018036
bos_mutus ENSBMUG00000015360
bos_taurus ENSBTAG00000009965
bison_bison_bison ENSBBBG00000020236
sus_scrofa ENSSSCG00000034338
tursiops_truncatus ENSTTRG00000008218
vicugna_pacos ENSVPAG00000010551
myotis_lucifugus ENSMLUG00000016802
pteropus_vampyrus ENSPVAG00000005100
equus_caballus ENSECAG00000023693
equus_asinus_asinus ENSEASG00005004859
ursus_maritimus ENSUMAG00000022325
ursus_americanus ENSUAMG00000004459
ailuropoda_melanoleuca ENSAMEG00000017857
neovison_vison ENSNVIG00000022854
canis_lupus_dingo ENSCAFG00020026163
canis_lupus_familiaris ENSCAFG00000030058
vulpes_vulpes ENSVVUG00000009261
panthera_pardus ENSPPRG00000013658
panthera_tigris_altaica ENSPTIG00000015543
felis_catus ENSFCAG00000007685
castor_canadensis ENSCCNG00000031372
dipodomys_ordii ENSDORG00000001753
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022093
mus_spicilegus ENSMSIG00000005830
mus_musculus ENSMUSG00000024132
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021183
mus_pahari MGP_PahariEiJ_G0023499
rattus_norvegicus ENSRNOG00000008843
meriones_unguiculatus ENSMUGG00000025766
cricetulus_griseus_crigri ENSCGRG00000013554
cricetulus_griseus_crigri-picr ENSCGRG00015012791
cricetulus_griseus_crigri-picr ENSCGRG00015012835
cricetulus_griseus_crigri ENSCGRG00000017718
cricetulus_griseus_chok1gshd ENSCGRG00001023188
mesocricetus_auratus ENSMAUG00000015027
microtus_ochrogaster ENSMOCG00000000628
peromyscus_maniculatus_bairdii ENSPEMG00000018522
nannospalax_galili ENSNGAG00000006717
jaculus_jaculus ENSJJAG00000015510
heterocephalus_glaber_male ENSHGLG00100005086
heterocephalus_glaber_female ENSHGLG00000019052
fukomys_damarensis ENSFDAG00000015631
cavia_aperea ENSCAPG00000011077
cavia_porcellus ENSCPOG00000002059
chinchilla_lanigera ENSCLAG00000016642
octodon_degus ENSODEG00000013836
urocitellus_parryii ENSUPAG00010017749
spermophilus_dauricus ENSSDAG00000010917
ictidomys_tridecemlineatus ENSSTOG00000013183
marmota_marmota_marmota ENSMMMG00000009555
pan_troglodytes ENSPTRG00000007644
pan_paniscus ENSPPAG00000038580
homo_sapiens ENSG00000167969
gorilla_gorilla ENSGGOG00000014262
nomascus_leucogenys ENSNLEG00000009286
papio_anubis ENSPANG00000009602
theropithecus_gelada ENSTGEG00000026616
cercocebus_atys ENSCATG00000038650
mandrillus_leucophaeus ENSMLEG00000013606
macaca_fascicularis ENSMFAG00000001454
macaca_mulatta ENSMMUG00000019237
macaca_nemestrina ENSMNEG00000036548
chlorocebus_sabaeus ENSCSAG00000010774
rhinopithecus_roxellana ENSRROG00000033736
rhinopithecus_bieti ENSRBIG00000037029
colobus_angolensis_palliatus ENSCANG00000001644
piliocolobus_tephrosceles ENSPTEG00000032562
cebus_capucinus ENSCCAG00000037540
saimiri_boliviensis_boliviensis ENSSBOG00000022989
callithrix_jacchus ENSCJAG00000014986
aotus_nancymaae ENSANAG00000026702
carlito_syrichta ENSTSYG00000028720
propithecus_coquereli ENSPCOG00000015428
prolemur_simus ENSPSMG00000022833
microcebus_murinus ENSMICG00000035761
otolemur_garnettii ENSOGAG00000006604
tupaia_belangeri ENSTBEG00000009590
erinaceus_europaeus ENSEEUG00000007589
procavia_capensis ENSPCAG00000004447
loxodonta_africana ENSLAFG00000000727
dasypus_novemcinctus ENSDNOG00000016075
dasypus_novemcinctus ENSDNOG00000035040
oryctolagus_cuniculus ENSOCUG00000021481
ochotona_princeps ENSOPRG00000002642
phascolarctos_cinereus ENSPCIG00000025011
notamacropus_eugenii ENSMEUG00000015993
sarcophilus_harrisii ENSSHAG00000002734
monodelphis_domestica ENSMODG00000015892
xenopus_tropicalis ENSXETG00000017302
latimeria_chalumnae ENSLACG00000014230
petromyzon_marinus ENSPMAG00000008357
eptatretus_burgeri ENSEBUG00000004083
ciona_savignyi ENSCSAVG00000002833
ciona_intestinalis ENSCING00000023669
ciona_intestinalis ENSCING00000022504
drosophila_melanogaster FBgn0032160
drosophila_melanogaster FBgn0032161
drosophila_melanogaster FBgn0032162
