pygocentrus_nattereri ENSPNAG00000023427
astyanax_mexicanus ENSAMXG00000016639
danio_rerio ENSDARG00000099997
mola_mola ENSMMOG00000007304
gasterosteus_aculeatus ENSGACG00000011471
scophthalmus_maximus ENSSMAG00000005102
amphiprion_percula ENSAPEG00000012592
amphiprion_ocellaris ENSAOCG00000023163
stegastes_partitus ENSSPAG00000013137
maylandia_zebra ENSMZEG00005027277
poecilia_reticulata ENSPREG00000005790
takifugu_rubripes ENSTRUG00000019810
mastacembelus_armatus ENSMAMG00000002341
periophthalmus_magnuspinnatus ENSPMGG00000016082
gadus_morhua ENSGMOG00000019409
notechis_scutatus ENSNSUG00000016757
pogona_vitticeps ENSPVIG00000022629
salvator_merianae ENSSMRG00000010148
drosophila_melanogaster FBgn0002354
