tupaia_belangeri ENSTBEG00000003106
oryctolagus_cuniculus ENSOCUG00000014027
vicugna_pacos ENSVPAG00000004197
bos_taurus ENSBTAG00000015362
bos_mutus ENSBMUG00000016640
bison_bison_bison ENSBBBG00000006644
capra_hircus ENSCHIG00000009982
ovis_aries ENSOARG00000018039
sus_scrofa ENSSSCG00000007501
tursiops_truncatus ENSTTRG00000015660
equus_asinus_asinus ENSEASG00005023265
myotis_lucifugus ENSMLUG00000014292
ursus_americanus ENSUAMG00000017597
ursus_maritimus ENSUMAG00000002676
ailuropoda_melanoleuca ENSAMEG00000012817
mustela_putorius_furo ENSMPUG00000006477
canis_lupus_familiaris ENSCAFG00000012011
canis_lupus_dingo ENSCAFG00020021939
panthera_tigris_altaica ENSPTIG00000020525
panthera_pardus ENSPPRG00000006586
felis_catus ENSFCAG00000000413
pteropus_vampyrus ENSPVAG00000001700
dipodomys_ordii ENSDORG00000000717
oryctolagus_cuniculus ENSOCUG00000025711
propithecus_coquereli ENSPCOG00000011212
microcebus_murinus ENSMICG00000005700
prolemur_simus ENSPSMG00000000557
otolemur_garnettii ENSOGAG00000014634
pan_troglodytes ENSPTRG00000013656
pan_paniscus ENSPPAG00000032623
homo_sapiens ENSG00000101144
gorilla_gorilla ENSGGOG00000003803
pongo_abelii ENSPPYG00000011157
nomascus_leucogenys ENSNLEG00000007046
macaca_mulatta ENSMMUG00000004074
macaca_nemestrina ENSMNEG00000007460
macaca_fascicularis ENSMFAG00000032242
theropithecus_gelada ENSTGEG00000013376
papio_anubis ENSPANG00000024504
mandrillus_leucophaeus ENSMLEG00000042018
cercocebus_atys ENSCATG00000005904
chlorocebus_sabaeus ENSCSAG00000015448
piliocolobus_tephrosceles ENSPTEG00000009502
colobus_angolensis_palliatus ENSCANG00000035108
rhinopithecus_bieti ENSRBIG00000044683
rhinopithecus_roxellana ENSRROG00000008373
cebus_capucinus ENSCCAG00000022185
saimiri_boliviensis_boliviensis ENSSBOG00000029401
callithrix_jacchus ENSCJAG00000019172
cricetulus_griseus_crigri ENSCGRG00000002102
cricetulus_griseus_chok1gshd ENSCGRG00001005573
cricetulus_griseus_crigri-picr ENSCGRG00015016998
mesocricetus_auratus ENSMAUG00000015344
microtus_ochrogaster ENSMOCG00000016476
peromyscus_maniculatus_bairdii ENSPEMG00000019995
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025662
mus_spicilegus ENSMSIG00000026606
mus_musculus ENSMUSG00000008999
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024742
mus_pahari MGP_PahariEiJ_G0026183
rattus_norvegicus ENSRNOG00000053384
meriones_unguiculatus ENSMUGG00000000135
nannospalax_galili ENSNGAG00000024076
jaculus_jaculus ENSJJAG00000019966
castor_canadensis ENSCCNG00000024744
urocitellus_parryii ENSUPAG00010005102
spermophilus_dauricus ENSSDAG00000018583
ictidomys_tridecemlineatus ENSSTOG00000012702
marmota_marmota_marmota ENSMMMG00000008665
heterocephalus_glaber_female ENSHGLG00000010163
heterocephalus_glaber_male ENSHGLG00100009679
fukomys_damarensis ENSFDAG00000013284
chinchilla_lanigera ENSCLAG00000006692
octodon_degus ENSODEG00000005399
cavia_aperea ENSCAPG00000008733
cavia_porcellus ENSCPOG00000035536
ochotona_princeps ENSOPRG00000000218
carlito_syrichta ENSTSYG00000002650
oryctolagus_cuniculus ENSOCUG00000023286
aotus_nancymaae ENSANAG00000036616
neovison_vison ENSNVIG00000022373
neovison_vison ENSNVIG00000022363
