lonchura_striata ENSLSDG00000003067
taeniopygia_guttata ENSTGUG00000005800
parus_major ENSPMJG00000006422
cyanistes_caeruleus ENSCCEG00000006502
serinus_canaria ENSSCAG00000003434
ficedula_albicollis ENSFALG00000001645
junco_hyemalis ENSJHYG00000005887
zonotrichia_albicollis ENSZALG00000002209
melopsittacus_undulatus ENSMUNG00000005118
manacus_vitellinus ENSMVIG00005011896
lepidothrix_coronata ENSLCOG00000014154
calidris_pugnax ENSCPUG00000014658
calidris_pygmaea ENSCPGG00000007111
anser_brachyrhynchus ENSABRG00000021681
anas_platyrhynchos ENSAPLG00000013150
gallus_gallus ENSGALG00000042055
meleagris_gallopavo ENSMGAG00000006819
coturnix_japonica ENSCJPG00005008125
numida_meleagris ENSNMEG00000009375
apteryx_owenii ENSAOWG00000004948
apteryx_haastii ENSAHAG00000007845
apteryx_rowi ENSARWG00000008424
dromaius_novaehollandiae ENSDNVG00000012327
nothoprocta_perdicaria ENSNPEG00000013496
vombatus_ursinus ENSVURG00010007139
phascolarctos_cinereus ENSPCIG00000003937
notamacropus_eugenii ENSMEUG00000009734
monodelphis_domestica ENSMODG00000013136
sarcophilus_harrisii ENSSHAG00000015645
ornithorhynchus_anatinus ENSOANG00000003910
anolis_carolinensis ENSACAG00000007923
pogona_vitticeps ENSPVIG00000005196
salvator_merianae ENSSMRG00000017370
xenopus_tropicalis ENSXETG00000014639
chelonoidis_abingdonii ENSCABG00000004561
gopherus_agassizii ENSGAGG00000009346
chrysemys_picta ENSCPBG00000021079
pelodiscus_sinensis ENSPSIG00000011977
crocodylus_porosus ENSCPRG00005007680
sphenodon_punctatus ENSSPUG00000017608
latimeria_chalumnae ENSLACG00000018765
dipodomys_ordii ENSDORG00000009780
castor_canadensis ENSCCNG00000014659
mus_spicilegus ENSMSIG00000019950
mus_spretus MGP_SPRETEiJ_G0024261
mus_musculus ENSMUSG00000015846
mus_caroli MGP_CAROLIEiJ_G0023344
mus_pahari MGP_PahariEiJ_G0024801
rattus_norvegicus ENSRNOG00000009446
meriones_unguiculatus ENSMUGG00000005050
cricetulus_griseus ENSCGRG00000003691
cricetulus_griseus ENSCGRG00001016924
cricetulus_griseus ENSCGRG00015011984
mesocricetus_auratus ENSMAUG00000016806
microtus_ochrogaster ENSMOCG00000007921
peromyscus_maniculatus ENSPEMG00000015777
nannospalax_galili ENSNGAG00000020257
jaculus_jaculus ENSJJAG00000022734
urocitellus_parryii ENSUPAG00010008551
ictidomys_tridecemlineatus ENSSTOG00000028427
marmota_marmota ENSMMMG00000012890
spermophilus_dauricus ENSSDAG00000009324
chinchilla_lanigera ENSCLAG00000004314
octodon_degus ENSODEG00000016500
cavia_porcellus ENSCPOG00000000168
cavia_aperea ENSCAPG00000010238
heterocephalus_glaber ENSHGLG00000012303
heterocephalus_glaber ENSHGLG00100011588
fukomys_damarensis ENSFDAG00000015606
nomascus_leucogenys ENSNLEG00000008722
macaca_mulatta ENSMMUG00000008183
macaca_nemestrina ENSMNEG00000029343
macaca_fascicularis ENSMFAG00000044609
mandrillus_leucophaeus ENSMLEG00000029010
papio_anubis ENSPANG00000026102
theropithecus_gelada ENSTGEG00000010102
cercocebus_atys ENSCATG00000033878
chlorocebus_sabaeus ENSCSAG00000015590
rhinopithecus_roxellana ENSRROG00000042937
rhinopithecus_bieti ENSRBIG00000042866
colobus_angolensis ENSCANG00000023283
pan_paniscus ENSPPAG00000042125
pan_troglodytes ENSPTRG00000021527
homo_sapiens ENSG00000186350
gorilla_gorilla ENSGGOG00000009752
pongo_abelii ENSPPYG00000019748
cebus_capucinus ENSCCAG00000032024
saimiri_boliviensis ENSSBOG00000033840
callithrix_jacchus ENSCJAG00000010148
aotus_nancymaae ENSANAG00000022572
carlito_syrichta ENSTSYG00000027074
prolemur_simus ENSPSMG00000017946
propithecus_coquereli ENSPCOG00000014455
microcebus_murinus ENSMICG00000010833
otolemur_garnettii ENSOGAG00000010970
myotis_lucifugus ENSMLUG00000010476
pteropus_vampyrus ENSPVAG00000007118
bos_indicus ENSBIXG00000007303
bos_indicus ENSBIXG00005030173
bos_taurus ENSBTAG00000017851
bos_mutus ENSBMUG00000000903
bison_bison ENSBBBG00000003525
capra_hircus ENSCHIG00000024110
ovis_aries ENSOARG00000002366
sus_scrofa ENSSSCG00000038220
tursiops_truncatus ENSTTRG00000009492
ursus_americanus ENSUAMG00000020722
ursus_maritimus ENSUMAG00000023627
ailuropoda_melanoleuca ENSAMEG00000011124
neovison_vison ENSNVIG00000018508
mustela_putorius ENSMPUG00000012176
canis_lupus ENSCAFG00000019838
canis_lupus ENSCAFG00020024843
vulpes_vulpes ENSVVUG00000027520
felis_catus ENSFCAG00000002431
panthera_pardus ENSPPRG00000001805
