zonotrichia_albicollis ENSZALG00000004671
lepidothrix_coronata ENSLCOG00000012485
calidris_pugnax ENSCPUG00000011018
calidris_pygmaea ENSCPGG00000018498
coturnix_japonica ENSCJPG00005015076
numida_meleagris ENSNMEG00000005429
apteryx_rowi ENSARWG00000005420
apteryx_haastii ENSAHAG00000012393
crocodylus_porosus ENSCPRG00005008336
salvator_merianae ENSSMRG00000007217
panthera_pardus ENSPPRG00000005032
canis_lupus ENSCAFG00020020214
sus_scrofa ENSSSCG00000048110
cebus_capucinus ENSCCAG00000024757
oryctolagus_cuniculus ENSOCUG00000031301
