anabas_testudineus ENSATEG00000016208
monopterus_albus ENSMALG00000018875
seriola_lalandi_dorsalis ENSSLDG00000000268
cynoglossus_semilaevis ENSCSEG00000016893
maylandia_zebra ENSMZEG00005003217
astatotilapia_calliptera ENSACLG00000021425
pundamilia_nyererei ENSPNYG00000021103
haplochromis_burtoni ENSHBUG00000016672
oryzias_latipes_asm223469v1 ENSORLG00015010155
oryzias_latipes ENSORLG00000024283
oryzias_melastigma ENSOMEG00000008355
acanthochromis_polyacanthus ENSAPOG00000009006
pygocentrus_nattereri ENSPNAG00000019156
lepisosteus_oculatus ENSLOCG00000002021
ornithorhynchus_anatinus ENSOANG00000022231
notamacropus_eugenii ENSMEUG00000005320
salvator_merianae ENSSMRG00000015179
calidris_pygmaea ENSCPGG00000003841
eptatretus_burgeri ENSEBUG00000015078
