mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023632
mus_musculus ENSMUSG00000099398
mus_spicilegus ENSMSIG00000030601
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022718
mus_pahari MGP_PahariEiJ_G0014212
rattus_norvegicus ENSRNOG00000025805
meriones_unguiculatus ENSMUGG00000014054
peromyscus_maniculatus_bairdii ENSPEMG00000015067
microtus_ochrogaster ENSMOCG00000017030
cricetulus_griseus_crigri ENSCGRG00000017626
cricetulus_griseus_chok1gshd ENSCGRG00001012852
cricetulus_griseus_crigri-picr ENSCGRG00015007212
mesocricetus_auratus ENSMAUG00000011246
castor_canadensis ENSCCNG00000001384
spermophilus_dauricus ENSSDAG00000009507
marmota_marmota_marmota ENSMMMG00000000655
urocitellus_parryii ENSUPAG00010001426
chinchilla_lanigera ENSCLAG00000002913
oryctolagus_cuniculus ENSOCUG00000012559
ochotona_princeps ENSOPRG00000011590
gorilla_gorilla ENSGGOG00000028569
pan_troglodytes ENSPTRG00000003713
homo_sapiens ENSG00000166928
pongo_abelii ENSPPYG00000003214
nomascus_leucogenys ENSNLEG00000013424
macaca_nemestrina ENSMNEG00000036843
macaca_fascicularis ENSMFAG00000039641
theropithecus_gelada ENSTGEG00000019560
papio_anubis ENSPANG00000035207
mandrillus_leucophaeus ENSMLEG00000031480
cercocebus_atys ENSCATG00000029428
rhinopithecus_bieti ENSRBIG00000037712
rhinopithecus_roxellana ENSRROG00000005539
colobus_angolensis_palliatus ENSCANG00000042742
chlorocebus_sabaeus ENSCSAG00000006192
macaca_mulatta ENSMMUG00000004821
piliocolobus_tephrosceles ENSPTEG00000028220
cebus_capucinus ENSCCAG00000011723
saimiri_boliviensis_boliviensis ENSSBOG00000033657
carlito_syrichta ENSTSYG00000012827
prolemur_simus ENSPSMG00000020668
propithecus_coquereli ENSPCOG00000020218
microcebus_murinus ENSMICG00000048047
otolemur_garnettii ENSOGAG00000010163
tupaia_belangeri ENSTBEG00000005663
bos_mutus ENSBMUG00000001641
bos_taurus ENSBTAG00000004581
bison_bison_bison ENSBBBG00000020245
capra_hircus ENSCHIG00000022453
ovis_aries ENSOARG00000012878
sus_scrofa ENSSSCG00000022114
ursus_americanus ENSUAMG00000008633
ursus_maritimus ENSUMAG00000011516
ailuropoda_melanoleuca ENSAMEG00000000413
neovison_vison ENSNVIG00000022213
canis_lupus_familiaris ENSCAFG00000010374
canis_lupus_dingo ENSCAFG00020000582
vulpes_vulpes ENSVVUG00000026629
equus_caballus ENSECAG00000018239
pteropus_vampyrus ENSPVAG00000017818
procavia_capensis ENSPCAG00000013619
echinops_telfairi ENSETEG00000011713
choloepus_hoffmanni ENSCHOG00000006604
dasypus_novemcinctus ENSDNOG00000049470
