panthera_tigris_altaica ENSPTIG00000009215
panthera_pardus ENSPPRG00000014278
felis_catus ENSFCAG00000041919
neovison_vison ENSNVIG00000008429
bos_mutus ENSBMUG00000001742
bos_taurus ENSBTAG00000053463
bison_bison_bison ENSBBBG00000016536
pan_paniscus ENSPPAG00000018021
pan_troglodytes ENSPTRG00000049955
homo_sapiens ENSG00000260802
gorilla_gorilla ENSGGOG00000036792
nomascus_leucogenys ENSNLEG00000030840
theropithecus_gelada ENSTGEG00000017381
mandrillus_leucophaeus ENSMLEG00000007164
macaca_nemestrina ENSMNEG00000007178
macaca_fascicularis ENSMFAG00000030526
cercocebus_atys ENSCATG00000013352
papio_anubis ENSPANG00000032352
rhinopithecus_roxellana ENSRROG00000009462
rhinopithecus_bieti ENSRBIG00000015904
piliocolobus_tephrosceles ENSPTEG00000028548
colobus_angolensis_palliatus ENSCANG00000012153
callithrix_jacchus ENSCJAG00000038675
cebus_capucinus ENSCCAG00000032409
saimiri_boliviensis_boliviensis ENSSBOG00000014442
aotus_nancymaae ENSANAG00000001590
carlito_syrichta ENSTSYG00000037046
prolemur_simus ENSPSMG00000021949
urocitellus_parryii ENSUPAG00010014201
spermophilus_dauricus ENSSDAG00000023154
marmota_marmota_marmota ENSMMMG00000010287
ictidomys_tridecemlineatus ENSSTOG00000033966
castor_canadensis ENSCCNG00000006265
octodon_degus ENSODEG00000020055
cavia_porcellus ENSCPOG00000032491
chinchilla_lanigera ENSCLAG00000017461
heterocephalus_glaber_female ENSHGLG00000019847
heterocephalus_glaber_male ENSHGLG00100021270
mus_musculus ENSMUSG00000085139
mus_spicilegus ENSMSIG00000013839
meriones_unguiculatus ENSMUGG00000002934
cricetulus_griseus_chok1gshd ENSCGRG00001002453
cricetulus_griseus_crigri-picr ENSCGRG00015015980
cricetulus_griseus_crigri ENSCGRG00000018484
mesocricetus_auratus ENSMAUG00000003887
peromyscus_maniculatus_bairdii ENSPEMG00000013845
nannospalax_galili ENSNGAG00000011672
jaculus_jaculus ENSJJAG00000010844
phascolarctos_cinereus ENSPCIG00000035799
calidris_pygmaea ENSCPGG00000004570
junco_hyemalis ENSJHYG00000002004
anser_brachyrhynchus ENSABRG00000015647
apteryx_haastii ENSAHAG00000007057
