marmota_marmota_marmota ENSMMMG00000002871
urocitellus_parryii ENSUPAG00010019047
nannospalax_galili ENSNGAG00000006886
microtus_ochrogaster ENSMOCG00000008216
capra_hircus ENSCHIG00000024644
bos_taurus ENSBTAG00000055090
sus_scrofa ENSSSCG00000038668
panthera_tigris_altaica ENSPTIG00000005746
felis_catus ENSFCAG00000032717
equus_caballus ENSECAG00000031820
saimiri_boliviensis_boliviensis ENSSBOG00000027805
cebus_capucinus ENSCCAG00000036005
aotus_nancymaae ENSANAG00000025372
pan_paniscus ENSPPAG00000041014
pan_troglodytes ENSPTRG00000048438
gorilla_gorilla ENSGGOG00000039212
nomascus_leucogenys ENSNLEG00000033907
papio_anubis ENSPANG00000031677
mandrillus_leucophaeus ENSMLEG00000032680
cercocebus_atys ENSCATG00000036275
macaca_mulatta ENSMMUG00000047681
macaca_nemestrina ENSMNEG00000043151
colobus_angolensis_palliatus ENSCANG00000030352
rhinopithecus_bieti ENSRBIG00000032223
carlito_syrichta ENSTSYG00000033880
prolemur_simus ENSPSMG00000025473
octodon_degus ENSODEG00000002090
chinchilla_lanigera ENSCLAG00000002409
cricetulus_griseus_chok1gshd ENSCGRG00001019881
cricetulus_griseus_crigri ENSCGRG00000000195
mesocricetus_auratus ENSMAUG00000020148
mus_spicilegus ENSMSIG00000013758
canis_lupus_dingo ENSCAFG00020015998
panthera_pardus ENSPPRG00000005195
zonotrichia_albicollis ENSZALG00000008716
lepidothrix_coronata ENSLCOG00000016287
melopsittacus_undulatus ENSMUNG00000005880
gallus_gallus ENSGALG00000052625
