scleropages_formosus ENSSFOG00015016097
paramormyrops_kingsleyae ENSPKIG00000011476
scophthalmus_maximus ENSSMAG00000008155
cynoglossus_semilaevis ENSCSEG00000017549
seriola_lalandi_dorsalis ENSSLDG00000018283
seriola_dumerili ENSSDUG00000018224
cynoglossus_semilaevis ENSCSEG00000015425
mastacembelus_armatus ENSMAMG00000011256
monopterus_albus ENSMALG00000008280
anabas_testudineus ENSATEG00000002620
gasterosteus_aculeatus ENSGACG00000010462
labrus_bergylta ENSLBEG00000019203
takifugu_rubripes ENSTRUG00000001991
tetraodon_nigroviridis ENSTNIG00000009899
amphiprion_ocellaris ENSAOCG00000024523
amphiprion_percula ENSAPEG00000016953
acanthochromis_polyacanthus ENSAPOG00000000788
pundamilia_nyererei ENSPNYG00000021317
haplochromis_burtoni ENSHBUG00000010648
astatotilapia_calliptera ENSACLG00000006837
maylandia_zebra ENSMZEG00005013772
neolamprologus_brichardi ENSNBRG00000000712
oreochromis_niloticus ENSONIG00000011816
amphilophus_citrinellus ENSACIG00000007169
poecilia_mexicana ENSPMEG00000017624
poecilia_formosa ENSPFOG00000006727
poecilia_latipinna ENSPLAG00000023381
poecilia_reticulata ENSPREG00000005337
xiphophorus_maculatus ENSXMAG00000019399
xiphophorus_couchianus ENSXCOG00000016595
gambusia_affinis ENSGAFG00000009456
fundulus_heteroclitus ENSFHEG00000018084
cyprinodon_variegatus ENSCVAG00000007143
kryptolebias_marmoratus ENSKMAG00000007696
oryzias_latipes ENSORLG00000010351
oryzias_latipes ENSORLG00020008183
oryzias_latipes_asm223469v1 ENSORLG00015022586
oryzias_melastigma ENSOMEG00000007522
periophthalmus_magnuspinnatus ENSPMGG00000013492
hippocampus_comes ENSHCOG00000019240
gadus_morhua ENSGMOG00000016934
esox_lucius ENSELUG00000000723
astyanax_mexicanus ENSAMXG00000007903
pygocentrus_nattereri ENSPNAG00000006490
ictalurus_punctatus ENSIPUG00000018314
danio_rerio ENSDARG00000059714
lepisosteus_oculatus ENSLOCG00000001492
apteryx_haastii ENSAHAG00000005011
apteryx_owenii ENSAOWG00000018591
apteryx_rowi ENSARWG00000003298
dromaius_novaehollandiae ENSDNVG00000004282
nothoprocta_perdicaria ENSNPEG00000014250
cyanistes_caeruleus ENSCCEG00000009445
parus_major ENSPMJG00000006690
ficedula_albicollis ENSFALG00000009095
lonchura_striata_domestica ENSLSDG00000017071
taeniopygia_guttata ENSTGUG00000000742
serinus_canaria ENSSCAG00000007732
zonotrichia_albicollis ENSZALG00000010755
lepidothrix_coronata ENSLCOG00000005023
manacus_vitellinus ENSMVIG00005019568
melopsittacus_undulatus ENSMUNG00000016760
calidris_pugnax ENSCPUG00000018871
calidris_pygmaea ENSCPGG00000016970
calidris_pugnax ENSCPUG00000017479
calidris_pygmaea ENSCPGG00000007855
anser_brachyrhynchus ENSABRG00000003408
anas_platyrhynchos_platyrhynchos ENSAPLG00000005029
coturnix_japonica ENSCJPG00005012761
gallus_gallus ENSGALG00000014672
meleagris_gallopavo ENSMGAG00000008104
numida_meleagris ENSNMEG00000006757
crocodylus_porosus ENSCPRG00005003817
chelonoidis_abingdonii ENSCABG00000021485
gopherus_agassizii ENSGAGG00000009059
chrysemys_picta_bellii ENSCPBG00000000470
pelodiscus_sinensis ENSPSIG00000016308
pogona_vitticeps ENSPVIG00000025656
anolis_carolinensis ENSACAG00000013015
notechis_scutatus ENSNSUG00000007375
salvator_merianae ENSSMRG00000007923
sphenodon_punctatus ENSSPUG00000003170
phascolarctos_cinereus ENSPCIG00000015632
notamacropus_eugenii ENSMEUG00000014116
sarcophilus_harrisii ENSSHAG00000012169
monodelphis_domestica ENSMODG00000020099
castor_canadensis ENSCCNG00000006966
dipodomys_ordii ENSDORG00000028194
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019617
mus_musculus ENSMUSG00000021592
mus_spicilegus ENSMSIG00000024602
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018734
mus_pahari MGP_PahariEiJ_G0015813
rattus_norvegicus ENSRNOG00000026937
meriones_unguiculatus ENSMUGG00000025014
peromyscus_maniculatus_bairdii ENSPEMG00000014304
microtus_ochrogaster ENSMOCG00000019368
cricetulus_griseus_crigri-picr ENSCGRG00015017704
cricetulus_griseus_crigri ENSCGRG00000008744
cricetulus_griseus_chok1gshd ENSCGRG00001019637
mesocricetus_auratus ENSMAUG00000015250
nannospalax_galili ENSNGAG00000023551
