mandrillus_leucophaeus ENSMLEG00000043949
macaca_fascicularis ENSMFAG00000037654
piliocolobus_tephrosceles ENSPTEG00000036160
theropithecus_gelada ENSTGEG00000012952
propithecus_coquereli ENSPCOG00000016128
castor_canadensis ENSCCNG00000020552
peromyscus_maniculatus_bairdii ENSPEMG00000027352
marmota_marmota_marmota ENSMMMG00000014878
urocitellus_parryii ENSUPAG00010004340
equus_asinus_asinus ENSEASG00005018820
equus_caballus ENSECAG00000039760
bos_mutus ENSBMUG00000009711
bison_bison_bison ENSBBBG00000005054
ursus_americanus ENSUAMG00000020490
ursus_maritimus ENSUMAG00000015204
neovison_vison ENSNVIG00000002538
vulpes_vulpes ENSVVUG00000024000
canis_lupus_dingo ENSCAFG00020003731
felis_catus ENSFCAG00000037028
sus_scrofa ENSSSCG00000032610
