mus_spicilegus ENSMSIG00000001357
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019149
mus_musculus ENSMUSG00000006720
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018294
mus_pahari MGP_PahariEiJ_G0019347
rattus_norvegicus ENSRNOG00000061612
meriones_unguiculatus ENSMUGG00000011685
cricetulus_griseus_crigri ENSCGRG00000015652
cricetulus_griseus_crigri-picr ENSCGRG00015007841
cricetulus_griseus_chok1gshd ENSCGRG00001013320
mesocricetus_auratus ENSMAUG00000002652
peromyscus_maniculatus_bairdii ENSPEMG00000023916
microtus_ochrogaster ENSMOCG00000010011
jaculus_jaculus ENSJJAG00000000455
urocitellus_parryii ENSUPAG00010011977
ictidomys_tridecemlineatus ENSSTOG00000030356
cavia_porcellus ENSCPOG00000013183
cavia_aperea ENSCAPG00000001410
chinchilla_lanigera ENSCLAG00000002094
tupaia_belangeri ENSTBEG00000013831
choloepus_hoffmanni ENSCHOG00000007598
