ictidomys_tridecemlineatus ENSSTOG00000033270
urocitellus_parryii ENSUPAG00010023451
marmota_marmota ENSMMMG00000005990
castor_canadensis ENSCCNG00000001041
chinchilla_lanigera ENSCLAG00000012633
pan_paniscus ENSPPAG00000038820
pan_troglodytes ENSPTRG00000020652
homo_sapiens ENSG00000185730
gorilla_gorilla ENSGGOG00000036666
pongo_abelii ENSPPYG00000019035
nomascus_leucogenys ENSNLEG00000029578
macaca_nemestrina ENSMNEG00000044951
macaca_mulatta ENSMMUG00000061203
macaca_fascicularis ENSMFAG00000000914
papio_anubis ENSPANG00000015054
theropithecus_gelada ENSTGEG00000016572
cercocebus_atys ENSCATG00000035107
chlorocebus_sabaeus ENSCSAG00000009115
colobus_angolensis ENSCANG00000029892
piliocolobus_tephrosceles ENSPTEG00000026535
rhinopithecus_roxellana ENSRROG00000042043
rhinopithecus_bieti ENSRBIG00000029997
cebus_capucinus ENSCCAG00000024698
saimiri_boliviensis ENSSBOG00000027878
callithrix_jacchus ENSCJAG00000035955
aotus_nancymaae ENSANAG00000019329
bos_indicus ENSBIXG00000012993
bos_indicus ENSBIXG00005030285
bos_taurus ENSBTAG00000049014
bos_mutus ENSBMUG00000015806
bison_bison ENSBBBG00000001314
ovis_aries ENSOARG00000001296
tursiops_truncatus ENSTTRG00000007736
sus_scrofa ENSSSCG00000006959
equus_asinus ENSEASG00005009557
equus_caballus ENSECAG00000012444
ursus_maritimus ENSUMAG00000001246
ursus_americanus ENSUAMG00000012925
neovison_vison ENSNVIG00000010681
vulpes_vulpes ENSVVUG00000022650
canis_lupus ENSCAFG00020018647
panthera_pardus ENSPPRG00000016348
panthera_pardus ENSPPRG00000016530
felis_catus ENSFCAG00000044269
microcebus_murinus ENSMICG00000014798
propithecus_coquereli ENSPCOG00000022813
otolemur_garnettii ENSOGAG00000024758
carlito_syrichta ENSTSYG00000008769
equus_asinus ENSEASG00005009555
equus_caballus ENSECAG00000034775
otolemur_garnettii ENSOGAG00000026765
bos_indicus ENSBIXG00005030310
bos_indicus ENSBIXG00000013004
spermophilus_dauricus ENSSDAG00000014820
rhinopithecus_bieti ENSRBIG00000043976
homo_sapiens ENSG00000269699
bos_taurus ENSBTAG00000052472
bos_indicus ENSBIXG00005029964
bos_mutus ENSBMUG00000015500
dasypus_novemcinctus ENSDNOG00000047750
