myotis_lucifugus ENSMLUG00000002084
pteropus_vampyrus ENSPVAG00000006567
capra_hircus ENSCHIG00000023194
ovis_aries ENSOARG00000011165
bos_mutus ENSBMUG00000002773
bos_taurus ENSBTAG00000032206
bison_bison_bison ENSBBBG00000004804
tursiops_truncatus ENSTTRG00000010824
sus_scrofa ENSSSCG00000005371
vicugna_pacos ENSVPAG00000010544
equus_asinus_asinus ENSEASG00005022809
equus_caballus ENSECAG00000011425
ursus_americanus ENSUAMG00000005481
ursus_maritimus ENSUMAG00000012398
ailuropoda_melanoleuca ENSAMEG00000004726
canis_lupus_familiaris ENSCAFG00000002461
canis_lupus_dingo ENSCAFG00020018565
vulpes_vulpes ENSVVUG00000019714
panthera_tigris_altaica ENSPTIG00000015605
panthera_pardus ENSPPRG00000023100
felis_catus ENSFCAG00000029074
erinaceus_europaeus ENSEEUG00000002017
erinaceus_europaeus ENSEEUG00000011446
sorex_araneus ENSSARG00000012795
macaca_fascicularis ENSMFAG00000031373
macaca_mulatta ENSMMUG00000013634
macaca_nemestrina ENSMNEG00000031457
cercocebus_atys ENSCATG00000036851
theropithecus_gelada ENSTGEG00000003125
papio_anubis ENSPANG00000025587
mandrillus_leucophaeus ENSMLEG00000037949
chlorocebus_sabaeus ENSCSAG00000010953
rhinopithecus_bieti ENSRBIG00000037842
rhinopithecus_roxellana ENSRROG00000043724
piliocolobus_tephrosceles ENSPTEG00000025595
colobus_angolensis_palliatus ENSCANG00000041619
pan_troglodytes ENSPTRG00000021171
pan_paniscus ENSPPAG00000034879
homo_sapiens ENSG00000136929
gorilla_gorilla ENSGGOG00000011390
nomascus_leucogenys ENSNLEG00000016935
cebus_capucinus ENSCCAG00000032925
callithrix_jacchus ENSCJAG00000010940
saimiri_boliviensis_boliviensis ENSSBOG00000033030
aotus_nancymaae ENSANAG00000026438
carlito_syrichta ENSTSYG00000005944
propithecus_coquereli ENSPCOG00000003232
prolemur_simus ENSPSMG00000023696
microcebus_murinus ENSMICG00000029755
otolemur_garnettii ENSOGAG00000003987
tupaia_belangeri ENSTBEG00000016179
castor_canadensis ENSCCNG00000024982
dipodomys_ordii ENSDORG00000029530
mus_spicilegus ENSMSIG00000020689
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026949
mus_musculus ENSMUSG00000028332
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025986
mus_pahari MGP_PahariEiJ_G0028322
rattus_norvegicus ENSRNOG00000009436
meriones_unguiculatus ENSMUGG00000007171
cricetulus_griseus_chok1gshd ENSCGRG00001006410
cricetulus_griseus_crigri ENSCGRG00000003704
cricetulus_griseus_crigri-picr ENSCGRG00015028000
mesocricetus_auratus ENSMAUG00000018359
peromyscus_maniculatus_bairdii ENSPEMG00000019935
microtus_ochrogaster ENSMOCG00000014055
nannospalax_galili ENSNGAG00000012041
heterocephalus_glaber_female ENSHGLG00000002822
heterocephalus_glaber_male ENSHGLG00100004245
fukomys_damarensis ENSFDAG00000009380
chinchilla_lanigera ENSCLAG00000016022
marmota_marmota_marmota ENSMMMG00000005145
spermophilus_dauricus ENSSDAG00000020424
urocitellus_parryii ENSUPAG00010016327
oryctolagus_cuniculus ENSOCUG00000010701
ochotona_princeps ENSOPRG00000003013
loxodonta_africana ENSLAFG00000009387
procavia_capensis ENSPCAG00000004588
choloepus_hoffmanni ENSCHOG00000011306
dasypus_novemcinctus ENSDNOG00000045165
sarcophilus_harrisii ENSSHAG00000012496
monodelphis_domestica ENSMODG00000003239
phascolarctos_cinereus ENSPCIG00000002435
notamacropus_eugenii ENSMEUG00000002209
anolis_carolinensis ENSACAG00000024269
