mus_musculus ENSMUSG00000074754
mus_spicilegus ENSMSIG00000019173
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025307
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024388
mus_pahari MGP_PahariEiJ_G0025832
rattus_norvegicus ENSRNOG00000036971
meriones_unguiculatus ENSMUGG00000010217
cricetulus_griseus_crigri ENSCGRG00000007086
cricetulus_griseus_chok1gshd ENSCGRG00001010844
cricetulus_griseus_crigri-picr ENSCGRG00015007076
mesocricetus_auratus ENSMAUG00000021093
microtus_ochrogaster ENSMOCG00000016611
peromyscus_maniculatus_bairdii ENSPEMG00000025969
nannospalax_galili ENSNGAG00000014637
castor_canadensis ENSCCNG00000000772
ictidomys_tridecemlineatus ENSSTOG00000033106
urocitellus_parryii ENSUPAG00010004005
spermophilus_dauricus ENSSDAG00000024440
marmota_marmota_marmota ENSMMMG00000003045
oryctolagus_cuniculus ENSOCUG00000024533
colobus_angolensis_palliatus ENSCANG00000031791
rhinopithecus_bieti ENSRBIG00000035064
piliocolobus_tephrosceles ENSPTEG00000035920
theropithecus_gelada ENSTGEG00000018677
homo_sapiens ENSG00000232388
piliocolobus_tephrosceles ENSPTEG00000037349
colobus_angolensis_palliatus ENSCANG00000029262
theropithecus_gelada ENSTGEG00000017847
piliocolobus_tephrosceles ENSPTEG00000012799
propithecus_coquereli ENSPCOG00000010457
prolemur_simus ENSPSMG00000011482
otolemur_garnettii ENSOGAG00000031912
ursus_maritimus ENSUMAG00000024947
ursus_americanus ENSUAMG00000024169
canis_lupus_familiaris ENSCAFG00000032343
canis_lupus_dingo ENSCAFG00020027497
vulpes_vulpes ENSVVUG00000012870
neovison_vison ENSNVIG00000011044
mustela_putorius_furo ENSMPUG00000001239
equus_caballus ENSECAG00000040411
equus_asinus_asinus ENSEASG00005002040
bos_mutus ENSBMUG00000004015
bison_bison_bison ENSBBBG00000000399
bos_taurus ENSBTAG00000051249
ovis_aries ENSOARG00000001112
sus_scrofa ENSSSCG00000025589
dasypus_novemcinctus ENSDNOG00000048392
phascolarctos_cinereus ENSPCIG00000036206
xiphophorus_maculatus ENSXMAG00000010293
xiphophorus_couchianus ENSXCOG00000010245
poecilia_formosa ENSPFOG00000010226
gambusia_affinis ENSGAFG00000015990
cyprinodon_variegatus ENSCVAG00000019260
pundamilia_nyererei ENSPNYG00000005283
haplochromis_burtoni ENSHBUG00000001299
amphiprion_percula ENSAPEG00000012413
amphiprion_ocellaris ENSAOCG00000017173
gasterosteus_aculeatus ENSGACG00000016292
scophthalmus_maximus ENSSMAG00000010117
seriola_dumerili ENSSDUG00000005036
hippocampus_comes ENSHCOG00000002079
mastacembelus_armatus ENSMAMG00000004480
monopterus_albus ENSMALG00000004798
takifugu_rubripes ENSTRUG00000023360
gadus_morhua ENSGMOG00000003165
