pundamilia_nyererei ENSPNYG00000003277
astatotilapia_calliptera ENSACLG00000012347
neolamprologus_brichardi ENSNBRG00000006259
amphilophus_citrinellus ENSACIG00000002096
amphiprion_percula ENSAPEG00000021166
acanthochromis_polyacanthus ENSAPOG00000015214
maylandia_zebra ENSMZEG00005013355
cyprinodon_variegatus ENSCVAG00000007011
fundulus_heteroclitus ENSFHEG00000012137
poecilia_latipinna ENSPLAG00000006965
gambusia_affinis ENSGAFG00000011731
xiphophorus_maculatus ENSXMAG00000021778
xiphophorus_couchianus ENSXCOG00000000621
monopterus_albus ENSMALG00000012518
periophthalmus_magnuspinnatus ENSPMGG00000020935
labrus_bergylta ENSLBEG00000014241
ictalurus_punctatus ENSIPUG00000015674
