denticeps_clupeoides ENSDCDG00000022795
clupea_harengus ENSCHAG00000021174
astyanax_mexicanus ENSAMXG00000020316
astyanax_mexicanus ENSAMXG00005012543
pygocentrus_nattereri ENSPNAG00000018513
ictalurus_punctatus ENSIPUG00000017741
electrophorus_electricus ENSEEEG00000006978
danio_rerio ENSDARG00000062868
gouania_willdenowi ENSGWIG00000013834
gouania_willdenowi ENSGWIG00000016148
periophthalmus_magnuspinnatus ENSPMGG00000013719
tetraodon_nigroviridis ENSTNIG00000012148
takifugu_rubripes ENSTRUG00000006881
cynoglossus_semilaevis ENSCSEG00000005814
seriola_dumerili ENSSDUG00000018028
seriola_lalandi ENSSLDG00000022412
scophthalmus_maximus ENSSMAG00000007102
lates_calcarifer ENSLCAG00010016275
monopterus_albus ENSMALG00000010989
mastacembelus_armatus ENSMAMG00000005871
anabas_testudineus ENSATEG00000021463
betta_splendens ENSBSLG00000014627
astatotilapia_calliptera ENSACLG00000027421
maylandia_zebra ENSMZEG00005017978
haplochromis_burtoni ENSHBUG00000013626
pundamilia_nyererei ENSPNYG00000013590
neolamprologus_brichardi ENSNBRG00000003989
oreochromis_niloticus ENSONIG00000014683
amphilophus_citrinellus ENSACIG00000000107
parambassis_ranga ENSPRNG00000011095
amphiprion_ocellaris ENSAOCG00000007567
amphiprion_percula ENSAPEG00000007299
acanthochromis_polyacanthus ENSAPOG00000019016
stegastes_partitus ENSSPAG00000010165
poecilia_formosa ENSPFOG00000016046
poecilia_latipinna ENSPLAG00000015392
poecilia_mexicana ENSPMEG00000019054
poecilia_reticulata ENSPREG00000017959
xiphophorus_maculatus ENSXMAG00000001366
xiphophorus_couchianus ENSXCOG00000020496
gambusia_affinis ENSGAFG00000021747
fundulus_heteroclitus ENSFHEG00000008760
cyprinodon_variegatus ENSCVAG00000006358
kryptolebias_marmoratus ENSKMAG00000004467
oryzias_latipes ENSORLG00020021245
oryzias_latipes ENSORLG00000011313
oryzias_latipes ENSORLG00015011746
oryzias_melastigma ENSOMEG00000011030
larimichthys_crocea ENSLCRG00005012598
mola_mola ENSMMOG00000017409
cottoperca_gobio ENSCGOG00000022194
gasterosteus_aculeatus ENSGACG00000011713
labrus_bergylta ENSLBEG00000027728
labrus_bergylta ENSLBEG00000018095
hippocampus_comes ENSHCOG00000011264
gadus_morhua ENSGMOG00000003679
hucho_hucho ENSHHUG00000004001
hucho_hucho ENSHHUG00000018687
esox_lucius ENSELUG00000024457
scleropages_formosus ENSSFOG00015006926
paramormyrops_kingsleyae ENSPKIG00000025472
lepisosteus_oculatus ENSLOCG00000015288
erpetoichthys_calabaricus ENSECRG00000005263
pogona_vitticeps ENSPVIG00000023845
anolis_carolinensis ENSACAG00000012450
notechis_scutatus ENSNSUG00000016662
salvator_merianae ENSSMRG00000011043
sphenodon_punctatus ENSSPUG00000015064
lepidothrix_coronata ENSLCOG00000008079
manacus_vitellinus ENSMVIG00005002493
parus_major ENSPMJG00000012852
cyanistes_caeruleus ENSCCEG00000010872
ficedula_albicollis ENSFALG00000010681
junco_hyemalis ENSJHYG00000011360
zonotrichia_albicollis ENSZALG00000010334
serinus_canaria ENSSCAG00000007427
lonchura_striata ENSLSDG00000016652
taeniopygia_guttata ENSTGUG00000008213
calidris_pygmaea ENSCPGG00000002552
calidris_pugnax ENSCPUG00000002754
melopsittacus_undulatus ENSMUNG00000015274
gallus_gallus ENSGALG00000011280
meleagris_gallopavo ENSMGAG00000011316
coturnix_japonica ENSCJPG00005004925
numida_meleagris ENSNMEG00000006158
anser_brachyrhynchus ENSABRG00000010681
anas_platyrhynchos ENSAPLG00000014455
apteryx_owenii ENSAOWG00000009537
apteryx_haastii ENSAHAG00000016827
apteryx_rowi ENSARWG00000011532
dromaius_novaehollandiae ENSDNVG00000012039
nothoprocta_perdicaria ENSNPEG00000013911
crocodylus_porosus ENSCPRG00005002424
gopherus_agassizii ENSGAGG00000015901
chelonoidis_abingdonii ENSCABG00000022097
chrysemys_picta ENSCPBG00000026976
pelodiscus_sinensis ENSPSIG00000018167
bos_taurus ENSBTAG00000000421
bos_indicus ENSBIXG00000023775
bos_indicus ENSBIXG00005001022
bos_mutus ENSBMUG00000006324
