canis_lupus_dingo ENSCAFG00020011327
canis_lupus_familiaris ENSCAFG00000028473
vulpes_vulpes ENSVVUG00000004720
ursus_americanus ENSUAMG00000027474
felis_catus ENSFCAG00000040588
panthera_pardus ENSPPRG00000005316
equus_asinus_asinus ENSEASG00005014424
equus_caballus ENSECAG00000014263
bos_taurus ENSBTAG00000014136
bos_mutus ENSBMUG00000023536
bison_bison_bison ENSBBBG00000017594
capra_hircus ENSCHIG00000020846
ovis_aries ENSOARG00000000326
tursiops_truncatus ENSTTRG00000011980
sus_scrofa ENSSSCG00000032903
propithecus_coquereli ENSPCOG00000015359
prolemur_simus ENSPSMG00000014893
microcebus_murinus ENSMICG00000013227
otolemur_garnettii ENSOGAG00000030418
pan_troglodytes ENSPTRG00000000044
pan_paniscus ENSPPAG00000032006
gorilla_gorilla ENSGGOG00000013036
pongo_abelii ENSPPYG00000001983
nomascus_leucogenys ENSNLEG00000000188
papio_anubis ENSPANG00000012880
theropithecus_gelada ENSTGEG00000012292
mandrillus_leucophaeus ENSMLEG00000031153
cercocebus_atys ENSCATG00000039973
chlorocebus_sabaeus ENSCSAG00000000708
macaca_fascicularis ENSMFAG00000003372
rhinopithecus_roxellana ENSRROG00000037862
rhinopithecus_bieti ENSRBIG00000010131
macaca_mulatta ENSMMUG00000018916
piliocolobus_tephrosceles ENSPTEG00000018898
cebus_capucinus ENSCCAG00000023884
saimiri_boliviensis_boliviensis ENSSBOG00000023317
callithrix_jacchus ENSCJAG00000002454
aotus_nancymaae ENSANAG00000026024
heterocephalus_glaber_female ENSHGLG00000018115
heterocephalus_glaber_male ENSHGLG00100006183
chinchilla_lanigera ENSCLAG00000004738
spermophilus_dauricus ENSSDAG00000023292
marmota_marmota_marmota ENSMMMG00000019075
urocitellus_parryii ENSUPAG00010004379
urocitellus_parryii ENSUPAG00010016617
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027879
mus_musculus ENSMUSG00000073684
mus_spicilegus ENSMSIG00000016849
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026886
mus_pahari MGP_PahariEiJ_G0029234
rattus_norvegicus ENSRNOG00000036876
meriones_unguiculatus ENSMUGG00000002371
cricetulus_griseus_chok1gshd ENSCGRG00001022232
cricetulus_griseus_crigri ENSCGRG00000012802
cricetulus_griseus_crigri-picr ENSCGRG00015014225
mesocricetus_auratus ENSMAUG00000014116
peromyscus_maniculatus_bairdii ENSPEMG00000018960
microtus_ochrogaster ENSMOCG00000008887
nannospalax_galili ENSNGAG00000019261
jaculus_jaculus ENSJJAG00000017459
castor_canadensis ENSCCNG00000003387
loxodonta_africana ENSLAFG00000018467
procavia_capensis ENSPCAG00000015872
pteropus_vampyrus ENSPVAG00000014137
erinaceus_europaeus ENSEEUG00000007132
echinops_telfairi ENSETEG00000008820
dasypus_novemcinctus ENSDNOG00000038115
chelonoidis_abingdonii ENSCABG00000006605
chrysemys_picta_bellii ENSCPBG00000022988
