anas_platyrhynchos_platyrhynchos ENSAPLG00000001827
gallus_gallus ENSGALG00000036283
anser_brachyrhynchus ENSABRG00000008111
numida_meleagris ENSNMEG00000002057
melopsittacus_undulatus ENSMUNG00000001632
calidris_pygmaea ENSCPGG00000000658
calidris_pugnax ENSCPUG00000008917
apteryx_owenii ENSAOWG00000009597
apteryx_rowi ENSARWG00000008605
apteryx_haastii ENSAHAG00000019430
dromaius_novaehollandiae ENSDNVG00000004249
nothoprocta_perdicaria ENSNPEG00000002791
manacus_vitellinus ENSMVIG00005010526
lepidothrix_coronata ENSLCOG00000000171
parus_major ENSPMJG00000001631
junco_hyemalis ENSJHYG00000008148
taeniopygia_guttata ENSTGUG00000004447
lonchura_striata_domestica ENSLSDG00000000851
lonchura_striata_domestica ENSLSDG00000000915
cyanistes_caeruleus ENSCCEG00000012386
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015751
crocodylus_porosus ENSCPRG00005008893
pogona_vitticeps ENSPVIG00000010594
notechis_scutatus ENSNSUG00000010667
salvator_merianae ENSSMRG00000013866
sphenodon_punctatus ENSSPUG00000001576
gopherus_agassizii ENSGAGG00000023769
chelonoidis_abingdonii ENSCABG00000018312
chrysemys_picta_bellii ENSCPBG00000007941
heterocephalus_glaber_male ENSHGLG00100012468
heterocephalus_glaber_female ENSHGLG00000007303
fukomys_damarensis ENSFDAG00000020821
cavia_porcellus ENSCPOG00000022453
cavia_aperea ENSCAPG00000014086
chinchilla_lanigera ENSCLAG00000000547
octodon_degus ENSODEG00000000114
octodon_degus ENSODEG00000008563
octodon_degus ENSODEG00000002094
marmota_marmota_marmota ENSMMMG00000015472
urocitellus_parryii ENSUPAG00010009994
spermophilus_dauricus ENSSDAG00000018731
ictidomys_tridecemlineatus ENSSTOG00000013917
castor_canadensis ENSCCNG00000026058
dipodomys_ordii ENSDORG00000027340
cricetulus_griseus_crigri ENSCGRG00000006832
cricetulus_griseus_crigri-picr ENSCGRG00015024554
cricetulus_griseus_chok1gshd ENSCGRG00001002681
cricetulus_griseus_chok1gshd ENSCGRG00001003032
cricetulus_griseus_crigri-picr ENSCGRG00015020958
mesocricetus_auratus ENSMAUG00000016783
peromyscus_maniculatus_bairdii ENSPEMG00000018117
microtus_ochrogaster ENSMOCG00000017782
mus_spicilegus ENSMSIG00000021530
mus_musculus ENSMUSG00000038374
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026330
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025383
mus_musculus ENSMUSG00000078184
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014951
mus_pahari MGP_PahariEiJ_G0026828
rattus_norvegicus ENSRNOG00000021215
meriones_unguiculatus ENSMUGG00000017179
nannospalax_galili ENSNGAG00000016038
jaculus_jaculus ENSJJAG00000009488
oryctolagus_cuniculus ENSOCUG00000025693
ochotona_princeps ENSOPRG00000013316
pan_troglodytes ENSPTRG00000001201
pan_paniscus ENSPPAG00000029116
homo_sapiens ENSG00000265241
gorilla_gorilla ENSGGOG00000037248
pongo_abelii ENSPPYG00000000929
nomascus_leucogenys ENSNLEG00000029632
theropithecus_gelada ENSTGEG00000010509
cercocebus_atys ENSCATG00000021691
mandrillus_leucophaeus ENSMLEG00000039155
papio_anubis ENSPANG00000020584
macaca_fascicularis ENSMFAG00000045376
macaca_mulatta ENSMMUG00000016051
macaca_nemestrina ENSMNEG00000040422
chlorocebus_sabaeus ENSCSAG00000001779
rhinopithecus_roxellana ENSRROG00000040324
rhinopithecus_roxellana ENSRROG00000033023
rhinopithecus_bieti ENSRBIG00000039233
