xenopus_tropicalis ENSXETG00000020012
latimeria_chalumnae ENSLACG00000009719
pogona_vitticeps ENSPVIG00000009297
anolis_carolinensis ENSACAG00000000146
notechis_scutatus ENSNSUG00000001052
salvator_merianae ENSSMRG00000017999
sphenodon_punctatus ENSSPUG00000014740
chelonoidis_abingdonii ENSCABG00000015473
gopherus_agassizii ENSGAGG00000014135
chrysemys_picta_bellii ENSCPBG00000003984
pelodiscus_sinensis ENSPSIG00000003481
crocodylus_porosus ENSCPRG00005005567
notamacropus_eugenii ENSMEUG00000011035
phascolarctos_cinereus ENSPCIG00000018164
sarcophilus_harrisii ENSSHAG00000005890
monodelphis_domestica ENSMODG00000003830
loxodonta_africana ENSLAFG00000001031
procavia_capensis ENSPCAG00000002531
echinops_telfairi ENSETEG00000017350
dasypus_novemcinctus ENSDNOG00000004236
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027200
mus_spicilegus ENSMSIG00000028827
mus_musculus ENSMUSG00000044254
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026231
mus_pahari MGP_PahariEiJ_G0028565
rattus_norvegicus ENSRNOG00000006280
meriones_unguiculatus ENSMUGG00000026937
peromyscus_maniculatus_bairdii ENSPEMG00000014728
microtus_ochrogaster ENSMOCG00000014339
cricetulus_griseus_chok1gshd ENSCGRG00001002601
cricetulus_griseus_crigri-picr ENSCGRG00015004833
cricetulus_griseus_crigri ENSCGRG00000003628
mesocricetus_auratus ENSMAUG00000021824
nannospalax_galili ENSNGAG00000021883
castor_canadensis ENSCCNG00000023163
chinchilla_lanigera ENSCLAG00000016094
octodon_degus ENSODEG00000012063
cavia_aperea ENSCAPG00000006081
cavia_porcellus ENSCPOG00000015659
heterocephalus_glaber_female ENSHGLG00000018754
heterocephalus_glaber_male ENSHGLG00100016748
fukomys_damarensis ENSFDAG00000011268
urocitellus_parryii ENSUPAG00010021222
spermophilus_dauricus ENSSDAG00000002881
ictidomys_tridecemlineatus ENSSTOG00000005400
marmota_marmota_marmota ENSMMMG00000015192
oryctolagus_cuniculus ENSOCUG00000023343
tupaia_belangeri ENSTBEG00000014604
pan_paniscus ENSPPAG00000032319
pan_troglodytes ENSPTRG00000000783
homo_sapiens ENSG00000169174
gorilla_gorilla ENSGGOG00000003530
pongo_abelii ENSPPYG00000001306
nomascus_leucogenys ENSNLEG00000014590
macaca_fascicularis ENSMFAG00000002375
macaca_mulatta ENSMMUG00000005736
macaca_nemestrina ENSMNEG00000036087
papio_anubis ENSPANG00000019345
