spermophilus_dauricus ENSSDAG00000009579
marmota_marmota_marmota ENSMMMG00000000953
ictidomys_tridecemlineatus ENSSTOG00000028185
fukomys_damarensis ENSFDAG00000018096
cavia_porcellus ENSCPOG00000040094
castor_canadensis ENSCCNG00000016221
peromyscus_maniculatus_bairdii ENSPEMG00000027205
oryctolagus_cuniculus ENSOCUG00000017315
ochotona_princeps ENSOPRG00000017088
prolemur_simus ENSPSMG00000000297
otolemur_garnettii ENSOGAG00000013353
pan_troglodytes ENSPTRG00000048392
pan_paniscus ENSPPAG00000019073
homo_sapiens ENSG00000173464
gorilla_gorilla ENSGGOG00000041583
pongo_abelii ENSPPYG00000005571
macaca_mulatta ENSMMUG00000015599
theropithecus_gelada ENSTGEG00000014866
chlorocebus_sabaeus ENSCSAG00000000351
piliocolobus_tephrosceles ENSPTEG00000015008
tupaia_belangeri ENSTBEG00000015864
ursus_americanus ENSUAMG00000021837
ursus_maritimus ENSUMAG00000009196
neovison_vison ENSNVIG00000013394
mustela_putorius_furo ENSMPUG00000018387
panthera_pardus ENSPPRG00000020124
panthera_pardus ENSPPRG00000020139
panthera_tigris_altaica ENSPTIG00000004175
felis_catus ENSFCAG00000029892
pteropus_vampyrus ENSPVAG00000011553
bos_taurus ENSBTAG00000046058
bos_mutus ENSBMUG00000012152
bison_bison_bison ENSBBBG00000010866
ovis_aries ENSOARG00000013091
capra_hircus ENSCHIG00000016986
vicugna_pacos ENSVPAG00000011236
equus_asinus_asinus ENSEASG00005010203
equus_caballus ENSECAG00000001686
loxodonta_africana ENSLAFG00000013372
procavia_capensis ENSPCAG00000015661
choloepus_hoffmanni ENSCHOG00000013365
