mastacembelus_armatus ENSMAMG00000012830
monopterus_albus ENSMALG00000018335
anabas_testudineus ENSATEG00000010888
scophthalmus_maximus ENSSMAG00000000113
cynoglossus_semilaevis ENSCSEG00000017889
seriola_dumerili ENSSDUG00000008400
seriola_lalandi_dorsalis ENSSLDG00000023585
labrus_bergylta ENSLBEG00000018079
gasterosteus_aculeatus ENSGACG00000013446
mola_mola ENSMMOG00000018893
tetraodon_nigroviridis ENSTNIG00000015235
amphiprion_percula ENSAPEG00000006852
amphiprion_ocellaris ENSAOCG00000002331
acanthochromis_polyacanthus ENSAPOG00000021870
stegastes_partitus ENSSPAG00000005774
xiphophorus_maculatus ENSXMAG00000016216
xiphophorus_couchianus ENSXCOG00000014625
gambusia_affinis ENSGAFG00000021355
poecilia_mexicana ENSPMEG00000010819
poecilia_mexicana ENSPMEG00000013141
poecilia_formosa ENSPFOG00000007783
poecilia_formosa ENSPFOG00000001568
poecilia_latipinna ENSPLAG00000011700
poecilia_reticulata ENSPREG00000003389
cyprinodon_variegatus ENSCVAG00000023231
fundulus_heteroclitus ENSFHEG00000005921
kryptolebias_marmoratus ENSKMAG00000012286
oryzias_latipes ENSORLG00020001059
oryzias_latipes_asm223469v1 ENSORLG00015012024
oryzias_latipes ENSORLG00000016672
oryzias_melastigma ENSOMEG00000003406
pundamilia_nyererei ENSPNYG00000011824
haplochromis_burtoni ENSHBUG00000003946
astatotilapia_calliptera ENSACLG00000023272
maylandia_zebra ENSMZEG00005025431
neolamprologus_brichardi ENSNBRG00000014752
oreochromis_niloticus ENSONIG00000009807
gadus_morhua ENSGMOG00000010200
esox_lucius ENSELUG00000006739
pygocentrus_nattereri ENSPNAG00000004304
astyanax_mexicanus ENSAMXG00000001520
ictalurus_punctatus ENSIPUG00000011796
danio_rerio ENSDARG00000009735
paramormyrops_kingsleyae ENSPKIG00000009188
scleropages_formosus ENSSFOG00015015193
paramormyrops_kingsleyae ENSPKIG00000009220
lepisosteus_oculatus ENSLOCG00000009165
latimeria_chalumnae ENSLACG00000000211
eptatretus_burgeri ENSEBUG00000015213
notamacropus_eugenii ENSMEUG00000014433
phascolarctos_cinereus ENSPCIG00000018817
sarcophilus_harrisii ENSSHAG00000008879
monodelphis_domestica ENSMODG00000010552
sorex_araneus ENSSARG00000007526
capra_hircus ENSCHIG00000017818
jaculus_jaculus ENSJJAG00000022856
jaculus_jaculus ENSJJAG00000003092
rattus_norvegicus ENSRNOG00000023577
dipodomys_ordii ENSDORG00000027363
dipodomys_ordii ENSDORG00000023267
rhinopithecus_bieti ENSRBIG00000038507
bos_mutus ENSBMUG00000025166
bos_taurus ENSBTAG00000014079
bison_bison_bison ENSBBBG00000020593
capra_hircus ENSCHIG00000019051
ovis_aries ENSOARG00000019355
tursiops_truncatus ENSTTRG00000010937
sus_scrofa ENSSSCG00000016291
