xenopus_tropicalis ENSXETG00000009832
ornithorhynchus_anatinus ENSOANG00000005863
cyanistes_caeruleus ENSCCEG00000021618
parus_major ENSPMJG00000015538
ficedula_albicollis ENSFALG00000003084
taeniopygia_guttata ENSTGUG00000008145
lonchura_striata_domestica ENSLSDG00000001351
junco_hyemalis ENSJHYG00000006972
zonotrichia_albicollis ENSZALG00000014092
serinus_canaria ENSSCAG00000007741
manacus_vitellinus ENSMVIG00005010309
lepidothrix_coronata ENSLCOG00000006197
melopsittacus_undulatus ENSMUNG00000006755
calidris_pugnax ENSCPUG00000004160
calidris_pygmaea ENSCPGG00000019338
anas_platyrhynchos_platyrhynchos ENSAPLG00000026168
anser_brachyrhynchus ENSABRG00000015170
gallus_gallus ENSGALG00000027986
coturnix_japonica ENSCJPG00005016576
meleagris_gallopavo ENSMGAG00000012031
numida_meleagris ENSNMEG00000017818
nothoprocta_perdicaria ENSNPEG00000004626
dromaius_novaehollandiae ENSDNVG00000008935
apteryx_owenii ENSAOWG00000011616
apteryx_rowi ENSARWG00000001076
apteryx_haastii ENSAHAG00000011475
crocodylus_porosus ENSCPRG00005009829
gopherus_agassizii ENSGAGG00000014457
chelonoidis_abingdonii ENSCABG00000007142
chrysemys_picta_bellii ENSCPBG00000024934
pelodiscus_sinensis ENSPSIG00000011781
notechis_scutatus ENSNSUG00000003636
salvator_merianae ENSSMRG00000004325
anolis_carolinensis ENSACAG00000006581
latimeria_chalumnae ENSLACG00000000510
taeniopygia_guttata ENSTGUG00000013889
lonchura_striata_domestica ENSLSDG00000001349
zonotrichia_albicollis ENSZALG00000014094
lepidothrix_coronata ENSLCOG00000006199
calidris_pygmaea ENSCPGG00000019339
apteryx_rowi ENSARWG00000001075
nothoprocta_perdicaria ENSNPEG00000004619
parus_major ENSPMJG00000015539
pogona_vitticeps ENSPVIG00000001071
pogona_vitticeps ENSPVIG00000001077
notechis_scutatus ENSNSUG00000003637
salvator_merianae ENSSMRG00000004324
latimeria_chalumnae ENSLACG00000004606
phascolarctos_cinereus ENSPCIG00000004445
notamacropus_eugenii ENSMEUG00000002720
