cyanistes_caeruleus ENSCCEG00000004233
parus_major ENSPMJG00000008516
lonchura_striata_domestica ENSLSDG00000006761
junco_hyemalis ENSJHYG00000010392
coturnix_japonica ENSCJPG00005011549
gallus_gallus ENSGALG00000007320
numida_meleagris ENSNMEG00000003138
anser_brachyrhynchus ENSABRG00000013551
anas_platyrhynchos_platyrhynchos ENSAPLG00000001480
calidris_pygmaea ENSCPGG00000010641
calidris_pugnax ENSCPUG00000018133
apteryx_rowi ENSARWG00000001698
crocodylus_porosus ENSCPRG00005000455
chelonoidis_abingdonii ENSCABG00000004258
chrysemys_picta_bellii ENSCPBG00000020847
canis_lupus_dingo ENSCAFG00020001722
vulpes_vulpes ENSVVUG00000024345
mus_spicilegus ENSMSIG00000009773
