haplochromis_burtoni ENSHBUG00000006768
maylandia_zebra ENSMZEG00005006182
pundamilia_nyererei ENSPNYG00000002866
astatotilapia_calliptera ENSACLG00000025999
neolamprologus_brichardi ENSNBRG00000005457
oreochromis_niloticus ENSONIG00000007892
poecilia_formosa ENSPFOG00000024577
amphiprion_ocellaris ENSAOCG00000003510
amphiprion_percula ENSAPEG00000002896
acanthochromis_polyacanthus ENSAPOG00000000588
monopterus_albus ENSMALG00000007971
mastacembelus_armatus ENSMAMG00000004996
labrus_bergylta ENSLBEG00000028209
