dromaius_novaehollandiae ENSDNVG00000013747
nothoprocta_perdicaria ENSNPEG00000003931
apteryx_haastii ENSAHAG00000018159
apteryx_owenii ENSAOWG00000018663
apteryx_rowi ENSARWG00000013840
calidris_pugnax ENSCPUG00000012867
calidris_pygmaea ENSCPGG00000002940
cyanistes_caeruleus ENSCCEG00000017793
lonchura_striata_domestica ENSLSDG00000016757
parus_major ENSPMJG00000017525
manacus_vitellinus ENSMVIG00005018491
lepidothrix_coronata ENSLCOG00000002887
melopsittacus_undulatus ENSMUNG00000013887
gallus_gallus ENSGALG00000023763
coturnix_japonica ENSCJPG00005018954
numida_meleagris ENSNMEG00000004237
anas_platyrhynchos_platyrhynchos ENSAPLG00000008250
anser_brachyrhynchus ENSABRG00000000709
crocodylus_porosus ENSCPRG00005011205
gopherus_agassizii ENSGAGG00000025490
chelonoidis_abingdonii ENSCABG00000010361
chrysemys_picta_bellii ENSCPBG00000017436
pelodiscus_sinensis ENSPSIG00000011260
anolis_carolinensis ENSACAG00000025249
pogona_vitticeps ENSPVIG00000010447
notechis_scutatus ENSNSUG00000016617
salvator_merianae ENSSMRG00000002790
sphenodon_punctatus ENSSPUG00000008649
phascolarctos_cinereus ENSPCIG00000032895
phascolarctos_cinereus ENSPCIG00000026077
sarcophilus_harrisii ENSSHAG00000012723
monodelphis_domestica ENSMODG00000025691
erinaceus_europaeus ENSEEUG00000012877
sorex_araneus ENSSARG00000009300
prolemur_simus ENSPSMG00000010697
microcebus_murinus ENSMICG00000011967
propithecus_coquereli ENSPCOG00000014051
otolemur_garnettii ENSOGAG00000010810
pan_paniscus ENSPPAG00000005642
pan_troglodytes ENSPTRG00000001095
homo_sapiens ENSG00000173947
gorilla_gorilla ENSGGOG00000008535
pongo_abelii ENSPPYG00000001035
nomascus_leucogenys ENSNLEG00000003881
macaca_nemestrina ENSMNEG00000027237
macaca_fascicularis ENSMFAG00000038084
macaca_mulatta ENSMMUG00000008859
papio_anubis ENSPANG00000008849
cercocebus_atys ENSCATG00000010659
theropithecus_gelada ENSTGEG00000003375
mandrillus_leucophaeus ENSMLEG00000030326
chlorocebus_sabaeus ENSCSAG00000001574
rhinopithecus_bieti ENSRBIG00000026378
rhinopithecus_roxellana ENSRROG00000045188
piliocolobus_tephrosceles ENSPTEG00000028311
