lonchura_striata ENSLSDG00000006858
taeniopygia_guttata ENSTGUG00000010827
ficedula_albicollis ENSFALG00000005819
manacus_vitellinus ENSMVIG00005002949
melopsittacus_undulatus ENSMUNG00000008064
meleagris_gallopavo ENSMGAG00000010705
apteryx_rowi ENSARWG00000008881
apteryx_owenii ENSAOWG00000005286
pogona_vitticeps ENSPVIG00000014096
propithecus_coquereli ENSPCOG00000025760
otolemur_garnettii ENSOGAG00000024828
aotus_nancymaae ENSANAG00000018706
cebus_capucinus ENSCCAG00000031345
rhinopithecus_roxellana ENSRROG00000016307
rhinopithecus_bieti ENSRBIG00000021838
papio_anubis ENSPANG00000020469
mandrillus_leucophaeus ENSMLEG00000037290
ailuropoda_melanoleuca ENSAMEG00000000241
ursus_americanus ENSUAMG00000004724
mustela_putorius ENSMPUG00000000704
neovison_vison ENSNVIG00000017455
panthera_tigris ENSPTIG00000007957
panthera_pardus ENSPPRG00000013556
dasypus_novemcinctus ENSDNOG00000049765
dasypus_novemcinctus ENSDNOG00000044045
vombatus_ursinus ENSVURG00010002656
phascolarctos_cinereus ENSPCIG00000006573
monodelphis_domestica ENSMODG00000050864
sarcophilus_harrisii ENSSHAG00000007134
