ictalurus_punctatus ENSIPUG00000009816
cavia_aperea ENSCAPG00000000492
chelonoidis_abingdonii ENSCABG00000011247
nothoprocta_perdicaria ENSNPEG00000004834
apteryx_haastii ENSAHAG00000012008
apteryx_rowi ENSARWG00000008136
apteryx_owenii ENSAOWG00000008800
dromaius_novaehollandiae ENSDNVG00000009343
meleagris_gallopavo ENSMGAG00000011938
coturnix_japonica ENSCJPG00005010713
gallus_gallus ENSGALG00000014078
numida_meleagris ENSNMEG00000011150
anser_brachyrhynchus ENSABRG00000000663
calidris_pygmaea ENSCPGG00000019323
calidris_pugnax ENSCPUG00000011638
melopsittacus_undulatus ENSMUNG00000006582
lepidothrix_coronata ENSLCOG00000001177
manacus_vitellinus ENSMVIG00005010579
lonchura_striata_domestica ENSLSDG00000007730
taeniopygia_guttata ENSTGUG00000007921
serinus_canaria ENSSCAG00000007905
junco_hyemalis ENSJHYG00000007236
zonotrichia_albicollis ENSZALG00000014061
parus_major ENSPMJG00000006567
cyanistes_caeruleus ENSCCEG00000014793
ficedula_albicollis ENSFALG00000003259
nothoprocta_perdicaria ENSNPEG00000004831
anas_platyrhynchos_platyrhynchos ENSAPLG00000003414
crocodylus_porosus ENSCPRG00005009960
gopherus_agassizii ENSGAGG00000006077
chelonoidis_abingdonii ENSCABG00000004579
chrysemys_picta_bellii ENSCPBG00000024995
pelodiscus_sinensis ENSPSIG00000016618
pogona_vitticeps ENSPVIG00000001205
anolis_carolinensis ENSACAG00000006045
notechis_scutatus ENSNSUG00000003530
salvator_merianae ENSSMRG00000004820
sphenodon_punctatus ENSSPUG00000017210
latimeria_chalumnae ENSLACG00000015075
prolemur_simus ENSPSMG00000021445
microcebus_murinus ENSMICG00000012931
otolemur_garnettii ENSOGAG00000012891
carlito_syrichta ENSTSYG00000025861
sorex_araneus ENSSARG00000012134
tursiops_truncatus ENSTTRG00000012613
vicugna_pacos ENSVPAG00000002246
capra_hircus ENSCHIG00000024006
ovis_aries ENSOARG00000018323
bison_bison_bison ENSBBBG00000018193
bos_mutus ENSBMUG00000011888
equus_asinus_asinus ENSEASG00005014327
bos_taurus ENSBTAG00000001600
equus_caballus ENSECAG00000023996
sus_scrofa ENSSSCG00000008831
ursus_americanus ENSUAMG00000024693
ursus_maritimus ENSUMAG00000002532
mustela_putorius_furo ENSMPUG00000005586
neovison_vison ENSNVIG00000013585
ailuropoda_melanoleuca ENSAMEG00000008209
canis_lupus_dingo ENSCAFG00020001922
canis_lupus_familiaris ENSCAFG00000001999
vulpes_vulpes ENSVVUG00000024860
panthera_tigris_altaica ENSPTIG00000008793
panthera_pardus ENSPPRG00000024436
felis_catus ENSFCAG00000023410
spermophilus_dauricus ENSSDAG00000020637
heterocephalus_glaber_male ENSHGLG00100003300
callithrix_jacchus ENSCJAG00000040096
octodon_degus ENSODEG00000007303
propithecus_coquereli ENSPCOG00000022124
dasypus_novemcinctus ENSDNOG00000040162
pteropus_vampyrus ENSPVAG00000013755
myotis_lucifugus ENSMLUG00000006455
erinaceus_europaeus ENSEEUG00000005667
oryctolagus_cuniculus ENSOCUG00000012352
ochotona_princeps ENSOPRG00000004025
callithrix_jacchus ENSCJAG00000018601
saimiri_boliviensis_boliviensis ENSSBOG00000030384
aotus_nancymaae ENSANAG00000006089
cebus_capucinus ENSCCAG00000016912
colobus_angolensis_palliatus ENSCANG00000038030
piliocolobus_tephrosceles ENSPTEG00000029846
rhinopithecus_roxellana ENSRROG00000044136
rhinopithecus_bieti ENSRBIG00000037191
pan_paniscus ENSPPAG00000042595
pan_troglodytes ENSPTRG00000016051
homo_sapiens ENSG00000109184
nomascus_leucogenys ENSNLEG00000033951
gorilla_gorilla ENSGGOG00000014656
pongo_abelii ENSPPYG00000014782
cercocebus_atys ENSCATG00000034641
papio_anubis ENSPANG00000000847
theropithecus_gelada ENSTGEG00000023881
macaca_nemestrina ENSMNEG00000031415
macaca_fascicularis ENSMFAG00000003049
macaca_mulatta ENSMMUG00000008579
mandrillus_leucophaeus ENSMLEG00000039534
chlorocebus_sabaeus ENSCSAG00000004948
choloepus_hoffmanni ENSCHOG00000012130
heterocephalus_glaber_male ENSHGLG00100000916
heterocephalus_glaber_female ENSHGLG00000017366
heterocephalus_glaber_female ENSHGLG00000002670
heterocephalus_glaber_female ENSHGLG00000016549
fukomys_damarensis ENSFDAG00000017537
