poecilia_reticulata ENSPREG00000003155
oryzias_melastigma ENSOMEG00000000644
mola_mola ENSMMOG00000010110
periophthalmus_magnuspinnatus ENSPMGG00000008799
astyanax_mexicanus ENSAMXG00000037144
astyanax_mexicanus ENSAMXG00005002204
rhinopithecus_roxellana ENSRROG00000022559
theropithecus_gelada ENSTGEG00000020336
microcebus_murinus ENSMICG00000035305
sphenodon_punctatus ENSSPUG00000016685
oryctolagus_cuniculus ENSOCUG00000034427
theropithecus_gelada ENSTGEG00000015770
equus_asinus ENSEASG00005008362
vulpes_vulpes ENSVVUG00000024837
marmota_marmota ENSMMMG00000007920
zonotrichia_albicollis ENSZALG00000001750
