poecilia_formosa ENSPFOG00000022213
poecilia_latipinna ENSPLAG00000002401
poecilia_mexicana ENSPMEG00000004558
poecilia_reticulata ENSPREG00000021604
gambusia_affinis ENSGAFG00000002296
xiphophorus_maculatus ENSXMAG00000029623
fundulus_heteroclitus ENSFHEG00000017640
acanthochromis_polyacanthus ENSAPOG00000014631
amphiprion_percula ENSAPEG00000019274
amphiprion_ocellaris ENSAOCG00000001501
acanthochromis_polyacanthus ENSAPOG00000014607
acanthochromis_polyacanthus ENSAPOG00000014615
stegastes_partitus ENSSPAG00000001055
takifugu_rubripes ENSTRUG00000024031
mastacembelus_armatus ENSMAMG00000021152
anabas_testudineus ENSATEG00000000869
