phascolarctos_cinereus ENSPCIG00000019607
sarcophilus_harrisii ENSSHAG00000000280
monodelphis_domestica ENSMODG00000018147
procavia_capensis ENSPCAG00000007524
echinops_telfairi ENSETEG00000010928
heterocephalus_glaber_female ENSHGLG00000016857
heterocephalus_glaber_male ENSHGLG00100004540
fukomys_damarensis ENSFDAG00000008304
chinchilla_lanigera ENSCLAG00000014161
cavia_aperea ENSCAPG00000014071
urocitellus_parryii ENSUPAG00010019554
spermophilus_dauricus ENSSDAG00000012468
marmota_marmota_marmota ENSMMMG00000011154
castor_canadensis ENSCCNG00000020262
mus_spicilegus ENSMSIG00000003452
mus_musculus ENSMUSG00000071550
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021666
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020767
mus_pahari MGP_PahariEiJ_G0016467
rattus_norvegicus ENSRNOG00000028077
meriones_unguiculatus ENSMUGG00000024465
peromyscus_maniculatus_bairdii ENSPEMG00000002203
microtus_ochrogaster ENSMOCG00000011484
cricetulus_griseus_crigri ENSCGRG00000003041
cricetulus_griseus_crigri-picr ENSCGRG00015015116
cricetulus_griseus_chok1gshd ENSCGRG00001017885
mesocricetus_auratus ENSMAUG00000016248
jaculus_jaculus ENSJJAG00000012513
oryctolagus_cuniculus ENSOCUG00000016317
gorilla_gorilla ENSGGOG00000005969
homo_sapiens ENSG00000206530
pan_paniscus ENSPPAG00000035051
pan_troglodytes ENSPTRG00000030160
pongo_abelii ENSPPYG00000013540
nomascus_leucogenys ENSNLEG00000004487
colobus_angolensis_palliatus ENSCANG00000033433
piliocolobus_tephrosceles ENSPTEG00000023228
rhinopithecus_bieti ENSRBIG00000005945
rhinopithecus_roxellana ENSRROG00000033708
mandrillus_leucophaeus ENSMLEG00000036300
theropithecus_gelada ENSTGEG00000003021
cercocebus_atys ENSCATG00000027506
papio_anubis ENSPANG00000003738
macaca_mulatta ENSMMUG00000013448
macaca_fascicularis ENSMFAG00000033023
macaca_nemestrina ENSMNEG00000042919
chlorocebus_sabaeus ENSCSAG00000006689
cebus_capucinus ENSCCAG00000029962
saimiri_boliviensis_boliviensis ENSSBOG00000024934
callithrix_jacchus ENSCJAG00000020291
aotus_nancymaae ENSANAG00000030396
carlito_syrichta ENSTSYG00000033377
prolemur_simus ENSPSMG00000014611
propithecus_coquereli ENSPCOG00000016402
microcebus_murinus ENSMICG00000049278
otolemur_garnettii ENSOGAG00000011776
tupaia_belangeri ENSTBEG00000007650
bos_mutus ENSBMUG00000009835
bos_taurus ENSBTAG00000013920
bison_bison_bison ENSBBBG00000013690
ovis_aries ENSOARG00000019394
capra_hircus ENSCHIG00000012026
sus_scrofa ENSSSCG00000033467
myotis_lucifugus ENSMLUG00000004221
erinaceus_europaeus ENSEEUG00000011740
sorex_araneus ENSSARG00000013328
equus_asinus_asinus ENSEASG00005011452
equus_caballus ENSECAG00000020163
ursus_maritimus ENSUMAG00000004329
ursus_americanus ENSUAMG00000009184
neovison_vison ENSNVIG00000014189
canis_lupus_dingo ENSCAFG00020007253
canis_lupus_familiaris ENSCAFG00000010611
vulpes_vulpes ENSVVUG00000022051
panthera_tigris_altaica ENSPTIG00000002175
panthera_pardus ENSPPRG00000014469
felis_catus ENSFCAG00000027998
ornithorhynchus_anatinus ENSOANG00000029559
ornithorhynchus_anatinus ENSOANG00000015011
pogona_vitticeps ENSPVIG00000019708
anolis_carolinensis ENSACAG00000028147
notechis_scutatus ENSNSUG00000010195
salvator_merianae ENSSMRG00000005443
sphenodon_punctatus ENSSPUG00000000025
apteryx_owenii ENSAOWG00000001264
apteryx_haastii ENSAHAG00000009389
apteryx_rowi ENSARWG00000015676
dromaius_novaehollandiae ENSDNVG00000000751
nothoprocta_perdicaria ENSNPEG00000001889
anser_brachyrhynchus ENSABRG00000009517
anas_platyrhynchos_platyrhynchos ENSAPLG00000015067
gallus_gallus ENSGALG00000042577
coturnix_japonica ENSCJPG00005017443
numida_meleagris ENSNMEG00000017066
calidris_pugnax ENSCPUG00000007154
calidris_pygmaea ENSCPGG00000009205
melopsittacus_undulatus ENSMUNG00000005313
manacus_vitellinus ENSMVIG00005011549
lepidothrix_coronata ENSLCOG00000010770
zonotrichia_albicollis ENSZALG00000000124
junco_hyemalis ENSJHYG00000018140
serinus_canaria ENSSCAG00000009275
lonchura_striata_domestica ENSLSDG00000006065
taeniopygia_guttata ENSTGUG00000013415
parus_major ENSPMJG00000010981
cyanistes_caeruleus ENSCCEG00000015281
ficedula_albicollis ENSFALG00000005938
crocodylus_porosus ENSCPRG00005004019
gopherus_agassizii ENSGAGG00000025776
chelonoidis_abingdonii ENSCABG00000002843
chrysemys_picta_bellii ENSCPBG00000003165
pelodiscus_sinensis ENSPSIG00000002319
latimeria_chalumnae ENSLACG00000012283
xiphophorus_maculatus ENSXMAG00000002946
xiphophorus_couchianus ENSXCOG00000006734
poecilia_mexicana ENSPMEG00000017476
poecilia_latipinna ENSPLAG00000020042
poecilia_formosa ENSPFOG00000001179
poecilia_reticulata ENSPREG00000019540
gambusia_affinis ENSGAFG00000002035
fundulus_heteroclitus ENSFHEG00000021254
cyprinodon_variegatus ENSCVAG00000006479
amphiprion_ocellaris ENSAOCG00000004467
amphiprion_percula ENSAPEG00000020447
acanthochromis_polyacanthus ENSAPOG00000000580
pundamilia_nyererei ENSPNYG00000016094
haplochromis_burtoni ENSHBUG00000012942
maylandia_zebra ENSMZEG00005014180
neolamprologus_brichardi ENSNBRG00000021350
astatotilapia_calliptera ENSACLG00000001037
oreochromis_niloticus ENSONIG00000012730
amphilophus_citrinellus ENSACIG00000002616
seriola_dumerili ENSSDUG00000001830
seriola_lalandi_dorsalis ENSSLDG00000015709
mastacembelus_armatus ENSMAMG00000022859
amphiprion_percula ENSAPEG00000013357
amphiprion_ocellaris ENSAOCG00000022942
acanthochromis_polyacanthus ENSAPOG00000007579
stegastes_partitus ENSSPAG00000023292
stegastes_partitus ENSSPAG00000003928
labrus_bergylta ENSLBEG00000012253
monopterus_albus ENSMALG00000000069
anabas_testudineus ENSATEG00000005803
hippocampus_comes ENSHCOG00000010384
hippocampus_comes ENSHCOG00000010334
cynoglossus_semilaevis ENSCSEG00000017182
mola_mola ENSMMOG00000012189
takifugu_rubripes ENSTRUG00000003869
gasterosteus_aculeatus ENSGACG00000017876
scophthalmus_maximus ENSSMAG00000013187
oryzias_latipes ENSORLG00000014951
oryzias_latipes ENSORLG00020002807
oryzias_latipes_asm223469v1 ENSORLG00015015847
oryzias_melastigma ENSOMEG00000009346
periophthalmus_magnuspinnatus ENSPMGG00000007893
gadus_morhua ENSGMOG00000016570
esox_lucius ENSELUG00000003884
pygocentrus_nattereri ENSPNAG00000020724
astyanax_mexicanus ENSAMXG00000014682
ictalurus_punctatus ENSIPUG00000010025
scleropages_formosus ENSSFOG00015016258
paramormyrops_kingsleyae ENSPKIG00000013259
eptatretus_burgeri ENSEBUG00000016466
ciona_savignyi ENSCSAVG00000009585
ciona_intestinalis ENSCING00000000371
drosophila_melanogaster FBgn0083960
