panthera_pardus ENSPPRG00000016425
panthera_tigris_altaica ENSPTIG00000006105
bos_mutus ENSBMUG00000021614
bison_bison_bison ENSBBBG00000023245
papio_anubis ENSPANG00000019445
theropithecus_gelada ENSTGEG00000016066
chlorocebus_sabaeus ENSCSAG00000000576
macaca_fascicularis ENSMFAG00000032236
macaca_mulatta ENSMMUG00000022991
cercocebus_atys ENSCATG00000022807
mandrillus_leucophaeus ENSMLEG00000036531
macaca_fascicularis ENSMFAG00000001905
macaca_mulatta ENSMMUG00000030389
macaca_nemestrina ENSMNEG00000037855
rhinopithecus_roxellana ENSRROG00000043612
rhinopithecus_bieti ENSRBIG00000035683
colobus_angolensis_palliatus ENSCANG00000030396
colobus_angolensis_palliatus ENSCANG00000030219
piliocolobus_tephrosceles ENSPTEG00000008315
mandrillus_leucophaeus ENSMLEG00000000608
pan_troglodytes ENSPTRG00000049229
pan_paniscus ENSPPAG00000028623
homo_sapiens ENSG00000262628
gorilla_gorilla ENSGGOG00000028150
saimiri_boliviensis_boliviensis ENSSBOG00000023874
