anas_platyrhynchos ENSAPLG00000023561
anser_brachyrhynchus ENSABRG00000012129
gallus_gallus ENSGALG00000038748
meleagris_gallopavo ENSMGAG00000002017
coturnix_japonica ENSCJPG00005016302
numida_meleagris ENSNMEG00000005929
calidris_pygmaea ENSCPGG00000010001
calidris_pugnax ENSCPUG00000016274
lepidothrix_coronata ENSLCOG00000009586
melopsittacus_undulatus ENSMUNG00000009067
apteryx_rowi ENSARWG00000010704
apteryx_owenii ENSAOWG00000011002
apteryx_haastii ENSAHAG00000010787
dromaius_novaehollandiae ENSDNVG00000008430
nothoprocta_perdicaria ENSNPEG00000010440
parus_major ENSPMJG00000000148
cyanistes_caeruleus ENSCCEG00000003790
lonchura_striata ENSLSDG00000000329
taeniopygia_guttata ENSTGUG00000001124
serinus_canaria ENSSCAG00000006970
junco_hyemalis ENSJHYG00000000762
manacus_vitellinus ENSMVIG00005008489
crocodylus_porosus ENSCPRG00005016713
chelonoidis_abingdonii ENSCABG00000001871
gopherus_agassizii ENSGAGG00000010674
chrysemys_picta ENSCPBG00000025072
pelodiscus_sinensis ENSPSIG00000011651
salvator_merianae ENSSMRG00000001267
pogona_vitticeps ENSPVIG00000015664
phascolarctos_cinereus ENSPCIG00000014234
vombatus_ursinus ENSVURG00010005092
notamacropus_eugenii ENSMEUG00000008064
monodelphis_domestica ENSMODG00000013955
choloepus_hoffmanni ENSCHOG00000011855
dasypus_novemcinctus ENSDNOG00000035528
loxodonta_africana ENSLAFG00000022865
echinops_telfairi ENSETEG00000014966
cricetulus_griseus ENSCGRG00015018611
cricetulus_griseus ENSCGRG00001024049
mesocricetus_auratus ENSMAUG00000021410
microtus_ochrogaster ENSMOCG00000000654
peromyscus_maniculatus ENSPEMG00000001612
mus_spretus MGP_SPRETEiJ_G0027612
mus_spicilegus ENSMSIG00000003163
mus_musculus ENSMUSG00000037266
mus_caroli MGP_CAROLIEiJ_G0026632
mus_pahari MGP_PahariEiJ_G0028965
nannospalax_galili ENSNGAG00000011069
jaculus_jaculus ENSJJAG00000001101
castor_canadensis ENSCCNG00000023497
dipodomys_ordii ENSDORG00000025796
urocitellus_parryii ENSUPAG00010021775
spermophilus_dauricus ENSSDAG00000020811
marmota_marmota ENSMMMG00000018254
cavia_porcellus ENSCPOG00000014651
fukomys_damarensis ENSFDAG00000015509
octodon_degus ENSODEG00000014609
chinchilla_lanigera ENSCLAG00000008988
ochotona_princeps ENSOPRG00000014006
tupaia_belangeri ENSTBEG00000002520
pongo_abelii ENSPPYG00000001712
pongo_abelii ENSPPYG00000010623
pan_troglodytes ENSPTRG00000000353
pan_paniscus ENSPPAG00000030483
gorilla_gorilla ENSGGOG00000005343
homo_sapiens ENSG00000117616
nomascus_leucogenys ENSNLEG00000009046
piliocolobus_tephrosceles ENSPTEG00000015598
colobus_angolensis ENSCANG00000034703
rhinopithecus_bieti ENSRBIG00000030694
rhinopithecus_roxellana ENSRROG00000037704
mandrillus_leucophaeus ENSMLEG00000044189
cercocebus_atys ENSCATG00000033666
macaca_mulatta ENSMMUG00000002970
macaca_fascicularis ENSMFAG00000003728
macaca_nemestrina ENSMNEG00000031088
theropithecus_gelada ENSTGEG00000005512
papio_anubis ENSPANG00000008896
chlorocebus_sabaeus ENSCSAG00000000949
saimiri_boliviensis ENSSBOG00000024990
saimiri_boliviensis ENSSBOG00000030408
cebus_capucinus ENSCCAG00000033350
callithrix_jacchus ENSCJAG00000018568
aotus_nancymaae ENSANAG00000028529
carlito_syrichta ENSTSYG00000027816
prolemur_simus ENSPSMG00000012723
propithecus_coquereli ENSPCOG00000027589
microcebus_murinus ENSMICG00000016214
otolemur_garnettii ENSOGAG00000011942
ailuropoda_melanoleuca ENSAMEG00000010158
ursus_americanus ENSUAMG00000025691
mustela_putorius ENSMPUG00000015796
canis_lupus ENSCAFG00000012888
canis_lupus ENSCAFG00020021098
vulpes_vulpes ENSVVUG00000027183
panthera_pardus ENSPPRG00000001204
felis_catus ENSFCAG00000029142
equus_caballus ENSECAG00000007744
vicugna_pacos ENSVPAG00000005706
tursiops_truncatus ENSTTRG00000003549
capra_hircus ENSCHIG00000015600
ovis_aries ENSOARG00000006256
bos_indicus ENSBIXG00000025322
bos_taurus ENSBTAG00000015222
bos_mutus ENSBMUG00000015768
bison_bison ENSBBBG00000006948
bos_indicus ENSBIXG00005029845
sus_scrofa ENSSSCG00000034449
erinaceus_europaeus ENSEEUG00000006993
pteropus_vampyrus ENSPVAG00000005842
myotis_lucifugus ENSMLUG00000001891
