bison_bison_bison ENSBBBG00000000102
bos_mutus ENSBMUG00000026771
capra_hircus ENSCHIG00000000346
tursiops_truncatus ENSTTRG00000008141
sus_scrofa ENSSSCG00000037918
equus_asinus_asinus ENSEASG00005019492
equus_caballus ENSECAG00000037793
pteropus_vampyrus ENSPVAG00000016678
pan_paniscus ENSPPAG00000002928
pan_troglodytes ENSPTRG00000002709
gorilla_gorilla ENSGGOG00000024607
homo_sapiens ENSG00000148671
pongo_abelii ENSPPYG00000002266
nomascus_leucogenys ENSNLEG00000002549
macaca_nemestrina ENSMNEG00000033765
macaca_fascicularis ENSMFAG00000000477
mandrillus_leucophaeus ENSMLEG00000037473
papio_anubis ENSPANG00000022615
chlorocebus_sabaeus ENSCSAG00000009713
cercocebus_atys ENSCATG00000038594
theropithecus_gelada ENSTGEG00000014972
rhinopithecus_roxellana ENSRROG00000031440
rhinopithecus_bieti ENSRBIG00000033995
colobus_angolensis_palliatus ENSCANG00000016133
piliocolobus_tephrosceles ENSPTEG00000003588
saimiri_boliviensis_boliviensis ENSSBOG00000023226
cebus_capucinus ENSCCAG00000035994
callithrix_jacchus ENSCJAG00000011625
aotus_nancymaae ENSANAG00000027094
carlito_syrichta ENSTSYG00000028779
prolemur_simus ENSPSMG00000008181
microcebus_murinus ENSMICG00000041499
propithecus_coquereli ENSPCOG00000027059
otolemur_garnettii ENSOGAG00000009362
marmota_marmota_marmota ENSMMMG00000012010
urocitellus_parryii ENSUPAG00010005531
neovison_vison ENSNVIG00000024553
vulpes_vulpes ENSVVUG00000025913
ailuropoda_melanoleuca ENSAMEG00000010016
panthera_pardus ENSPPRG00000007082
panthera_tigris_altaica ENSPTIG00000011608
felis_catus ENSFCAG00000007964
ursus_americanus ENSUAMG00000012463
dasypus_novemcinctus ENSDNOG00000033404
procavia_capensis ENSPCAG00000014800
sarcophilus_harrisii ENSSHAG00000009996
monodelphis_domestica ENSMODG00000002763
