anser_brachyrhynchus ENSABRG00000005644
anas_platyrhynchos_platyrhynchos ENSAPLG00000007497
gallus_gallus ENSGALG00000007178
coturnix_japonica ENSCJPG00005017814
meleagris_gallopavo ENSMGAG00000009519
numida_meleagris ENSNMEG00000002892
lepidothrix_coronata ENSLCOG00000010696
manacus_vitellinus ENSMVIG00005002160
zonotrichia_albicollis ENSZALG00000008377
junco_hyemalis ENSJHYG00000003545
serinus_canaria ENSSCAG00000009211
lonchura_striata_domestica ENSLSDG00000002328
taeniopygia_guttata ENSTGUG00000005863
parus_major ENSPMJG00000007101
cyanistes_caeruleus ENSCCEG00000000474
ficedula_albicollis ENSFALG00000004444
calidris_pugnax ENSCPUG00000003456
calidris_pygmaea ENSCPGG00000009720
melopsittacus_undulatus ENSMUNG00000014637
apteryx_owenii ENSAOWG00000005237
apteryx_haastii ENSAHAG00000013217
apteryx_rowi ENSARWG00000014031
dromaius_novaehollandiae ENSDNVG00000004626
nothoprocta_perdicaria ENSNPEG00000002117
crocodylus_porosus ENSCPRG00005007462
gopherus_agassizii ENSGAGG00000018594
chelonoidis_abingdonii ENSCABG00000016010
chrysemys_picta_bellii ENSCPBG00000017808
pelodiscus_sinensis ENSPSIG00000006664
anolis_carolinensis ENSACAG00000017603
pogona_vitticeps ENSPVIG00000017385
notechis_scutatus ENSNSUG00000009357
salvator_merianae ENSSMRG00000003537
sphenodon_punctatus ENSSPUG00000004809
myotis_lucifugus ENSMLUG00000024004
myotis_lucifugus ENSMLUG00000030015
equus_caballus ENSECAG00000013249
equus_caballus ENSECAG00000034109
mustela_putorius_furo ENSMPUG00000000188
neovison_vison ENSNVIG00000014652
ursus_americanus ENSUAMG00000013827
ursus_maritimus ENSUMAG00000018226
ailuropoda_melanoleuca ENSAMEG00000014258
canis_lupus_familiaris ENSCAFG00000029133
panthera_pardus ENSPPRG00000005372
panthera_tigris_altaica ENSPTIG00000008572
felis_catus ENSFCAG00000028963
felis_catus ENSFCAG00000026345
felis_catus ENSFCAG00000044237
panthera_tigris_altaica ENSPTIG00000017635
panthera_pardus ENSPPRG00000007516
castor_canadensis ENSCCNG00000005272
dipodomys_ordii ENSDORG00000029368
peromyscus_maniculatus_bairdii ENSPEMG00000011181
microtus_ochrogaster ENSMOCG00000014555
cricetulus_griseus_chok1gshd ENSCGRG00001006170
cricetulus_griseus_crigri ENSCGRG00000007789
cricetulus_griseus_crigri-picr ENSCGRG00015000292
mesocricetus_auratus ENSMAUG00000012629
mus_spicilegus ENSMSIG00000014315
mus_musculus ENSMUSG00000075217
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023749
