lepisosteus_oculatus ENSLOCG00000003126
astyanax_mexicanus ENSAMXG00000024842
meleagris_gallopavo ENSMGAG00000007837
numida_meleagris ENSNMEG00000009283
anser_brachyrhynchus ENSABRG00000019590
melopsittacus_undulatus ENSMUNG00000001193
calidris_pygmaea ENSCPGG00000006149
zonotrichia_albicollis ENSZALG00000014551
junco_hyemalis ENSJHYG00000014876
serinus_canaria ENSSCAG00000011259
taeniopygia_guttata ENSTGUG00000007995
ficedula_albicollis ENSFALG00000015093
cyanistes_caeruleus ENSCCEG00000015957
crocodylus_porosus ENSCPRG00005010510
pelodiscus_sinensis ENSPSIG00000000503
pogona_vitticeps ENSPVIG00000021059
sarcophilus_harrisii ENSSHAG00000003961
monodelphis_domestica ENSMODG00000021139
latimeria_chalumnae ENSLACG00000017393
