pan_troglodytes ENSPTRG00000034037
pan_paniscus ENSPPAG00000026423
gorilla_gorilla ENSGGOG00000042478
homo_sapiens ENSG00000214491
theropithecus_gelada ENSTGEG00000023446
papio_anubis ENSPANG00000034917
cercocebus_atys ENSCATG00000041507
macaca_mulatta ENSMMUG00000005806
rhinopithecus_roxellana ENSRROG00000033978
piliocolobus_tephrosceles ENSPTEG00000025316
carlito_syrichta ENSTSYG00000032403
urocitellus_parryii ENSUPAG00010008716
marmota_marmota_marmota ENSMMMG00000013431
urocitellus_parryii ENSUPAG00010021253
spermophilus_dauricus ENSSDAG00000008828
bison_bison_bison ENSBBBG00000009850
bos_taurus ENSBTAG00000049253
capra_hircus ENSCHIG00000004311
ovis_aries ENSOARG00000007907
ursus_americanus ENSUAMG00000006849
ursus_maritimus ENSUMAG00000016438
procavia_capensis ENSPCAG00000012884
dasypus_novemcinctus ENSDNOG00000012527
