ciona_intestinalis ENSCING00000012290
ciona_savignyi ENSCSAVG00000000554
chelonoidis_abingdonii ENSCABG00000003230
gopherus_agassizii ENSGAGG00000023273
chrysemys_picta ENSCPBG00000013984
pogona_vitticeps ENSPVIG00000017114
anolis_carolinensis ENSACAG00000016820
notechis_scutatus ENSNSUG00000016036
salvator_merianae ENSSMRG00000015630
loxodonta_africana ENSLAFG00000026085
procavia_capensis ENSPCAG00000002195
pteropus_vampyrus ENSPVAG00000004602
myotis_lucifugus ENSMLUG00000016239
equus_asinus ENSEASG00005004599
equus_caballus ENSECAG00000020060
tursiops_truncatus ENSTTRG00000001767
sus_scrofa ENSSSCG00000013622
ovis_aries ENSOARG00000018172
capra_hircus ENSCHIG00000007462
bos_indicus ENSBIXG00005028717
bos_taurus ENSBTAG00000016429
bison_bison ENSBBBG00000017753
ursus_americanus ENSUAMG00000027046
ailuropoda_melanoleuca ENSAMEG00000010673
neovison_vison ENSNVIG00000002649
mustela_putorius ENSMPUG00000005603
canis_lupus ENSCAFG00000017434
canis_lupus ENSCAFG00020004403
vulpes_vulpes ENSVVUG00000023591
panthera_pardus ENSPPRG00000009815
panthera_tigris ENSPTIG00000014982
felis_catus ENSFCAG00000040229
bison_bison ENSBBBG00000024154
ursus_maritimus ENSUMAG00000019598
castor_canadensis ENSCCNG00000009686
dipodomys_ordii ENSDORG00000002522
microtus_ochrogaster ENSMOCG00000003259
peromyscus_maniculatus ENSPEMG00000020320
cricetulus_griseus ENSCGRG00001022126
cricetulus_griseus ENSCGRG00000005506
mus_spicilegus ENSMSIG00000014964
mus_spretus MGP_SPRETEiJ_G0033010
mus_musculus ENSMUSG00000040883
mus_caroli MGP_CAROLIEiJ_G0031886
mus_pahari MGP_PahariEiJ_G0014752
rattus_norvegicus ENSRNOG00000011747
meriones_unguiculatus ENSMUGG00000019576
nannospalax_galili ENSNGAG00000017217
jaculus_jaculus ENSJJAG00000000261
spermophilus_dauricus ENSSDAG00000007709
urocitellus_parryii ENSUPAG00010007186
ictidomys_tridecemlineatus ENSSTOG00000005779
marmota_marmota ENSMMMG00000020116
heterocephalus_glaber ENSHGLG00100007968
heterocephalus_glaber ENSHGLG00000014918
