manacus_vitellinus ENSMVIG00005011020
lepidothrix_coronata ENSLCOG00000013904
parus_major ENSPMJG00000008648
cyanistes_caeruleus ENSCCEG00000008933
ficedula_albicollis ENSFALG00000011059
taeniopygia_guttata ENSTGUG00000008830
lonchura_striata_domestica ENSLSDG00000007633
junco_hyemalis ENSJHYG00000013759
zonotrichia_albicollis ENSZALG00000017073
serinus_canaria ENSSCAG00000005048
melopsittacus_undulatus ENSMUNG00000014383
calidris_pugnax ENSCPUG00000001843
calidris_pygmaea ENSCPGG00000002806
anser_brachyrhynchus ENSABRG00000017340
anas_platyrhynchos_platyrhynchos ENSAPLG00000005876
gallus_gallus ENSGALG00000006231
coturnix_japonica ENSCJPG00005010791
numida_meleagris ENSNMEG00000010627
apteryx_haastii ENSAHAG00000008121
apteryx_rowi ENSARWG00000009969
apteryx_owenii ENSAOWG00000017197
dromaius_novaehollandiae ENSDNVG00000013388
nothoprocta_perdicaria ENSNPEG00000014440
crocodylus_porosus ENSCPRG00005000274
chrysemys_picta_bellii ENSCPBG00000017555
gopherus_agassizii ENSGAGG00000004496
sphenodon_punctatus ENSSPUG00000001823
anolis_carolinensis ENSACAG00000028890
pogona_vitticeps ENSPVIG00000009822
notechis_scutatus ENSNSUG00000018122
salvator_merianae ENSSMRG00000014477
phascolarctos_cinereus ENSPCIG00000013737
notamacropus_eugenii ENSMEUG00000011083
monodelphis_domestica ENSMODG00000006721
sarcophilus_harrisii ENSSHAG00000016574
heterocephalus_glaber_female ENSHGLG00000005775
heterocephalus_glaber_male ENSHGLG00100015853
chinchilla_lanigera ENSCLAG00000016819
ictidomys_tridecemlineatus ENSSTOG00000003395
spermophilus_dauricus ENSSDAG00000012152
urocitellus_parryii ENSUPAG00010007606
marmota_marmota_marmota ENSMMMG00000004759
oryctolagus_cuniculus ENSOCUG00000002409
ochotona_princeps ENSOPRG00000002434
tupaia_belangeri ENSTBEG00000009078
prolemur_simus ENSPSMG00000010715
microcebus_murinus ENSMICG00000005579
propithecus_coquereli ENSPCOG00000015228
otolemur_garnettii ENSOGAG00000011195
pan_troglodytes ENSPTRG00000003408
pan_paniscus ENSPPAG00000041411
homo_sapiens ENSG00000129158
gorilla_gorilla ENSGGOG00000000685
pongo_abelii ENSPPYG00000003446
nomascus_leucogenys ENSNLEG00000017742
colobus_angolensis_palliatus ENSCANG00000042519
piliocolobus_tephrosceles ENSPTEG00000016903
rhinopithecus_roxellana ENSRROG00000044406
rhinopithecus_bieti ENSRBIG00000030422
cercocebus_atys ENSCATG00000039738
papio_anubis ENSPANG00000025793
mandrillus_leucophaeus ENSMLEG00000042345
macaca_mulatta ENSMMUG00000006405
macaca_fascicularis ENSMFAG00000000777
macaca_nemestrina ENSMNEG00000043939
theropithecus_gelada ENSTGEG00000011677
chlorocebus_sabaeus ENSCSAG00000004946
callithrix_jacchus ENSCJAG00000007283
saimiri_boliviensis_boliviensis ENSSBOG00000021636
cebus_capucinus ENSCCAG00000037352
aotus_nancymaae ENSANAG00000036496
carlito_syrichta ENSTSYG00000012345
myotis_lucifugus ENSMLUG00000007974
myotis_lucifugus ENSMLUG00000024585
pteropus_vampyrus ENSPVAG00000012835
equus_caballus ENSECAG00000005626
equus_asinus_asinus ENSEASG00005007572
bos_mutus ENSBMUG00000018049
bos_taurus ENSBTAG00000005340
bison_bison_bison ENSBBBG00000015878
ovis_aries ENSOARG00000001462
ovis_aries ENSOARG00000001673
capra_hircus ENSCHIG00000016321
tursiops_truncatus ENSTTRG00000013883
vicugna_pacos ENSVPAG00000010204
loxodonta_africana ENSLAFG00000018367
echinops_telfairi ENSETEG00000008763
procavia_capensis ENSPCAG00000002025
choloepus_hoffmanni ENSCHOG00000012655
dasypus_novemcinctus ENSDNOG00000001225
ursus_maritimus ENSUMAG00000023630
ursus_americanus ENSUAMG00000008229
mustela_putorius_furo ENSMPUG00000013567
neovison_vison ENSNVIG00000019122
canis_lupus_dingo ENSCAFG00020018379
vulpes_vulpes ENSVVUG00000023986
panthera_tigris_altaica ENSPTIG00000016255
felis_catus ENSFCAG00000000209
panthera_pardus ENSPPRG00000003386
felis_catus ENSFCAG00000045560
erinaceus_europaeus ENSEEUG00000010160
sorex_araneus ENSSARG00000000979
mus_spicilegus ENSMSIG00000027666
mus_musculus ENSMUSG00000030839
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030860
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029762
mus_pahari MGP_PahariEiJ_G0012987
rattus_norvegicus ENSRNOG00000011488
meriones_unguiculatus ENSMUGG00000003042
cricetulus_griseus_crigri-picr ENSCGRG00015014436
cricetulus_griseus_chok1gshd ENSCGRG00001023881
mesocricetus_auratus ENSMAUG00000010081
peromyscus_maniculatus_bairdii ENSPEMG00000008220
nannospalax_galili ENSNGAG00000011505
jaculus_jaculus ENSJJAG00000006549
dipodomys_ordii ENSDORG00000013234
castor_canadensis ENSCCNG00000006330
fukomys_damarensis ENSFDAG00000011897
cavia_porcellus ENSCPOG00000000907
ornithorhynchus_anatinus ENSOANG00000030336
ornithorhynchus_anatinus ENSOANG00000031253
latimeria_chalumnae ENSLACG00000012618
cynoglossus_semilaevis ENSCSEG00000006381
periophthalmus_magnuspinnatus ENSPMGG00000008942
takifugu_rubripes ENSTRUG00000023265
seriola_dumerili ENSSDUG00000019985
seriola_lalandi_dorsalis ENSSLDG00000021900
scophthalmus_maximus ENSSMAG00000012920
monopterus_albus ENSMALG00000005953
mastacembelus_armatus ENSMAMG00000003569
anabas_testudineus ENSATEG00000012005
maylandia_zebra ENSMZEG00005001962
astatotilapia_calliptera ENSACLG00000011589
haplochromis_burtoni ENSHBUG00000010567
pundamilia_nyererei ENSPNYG00000019249
neolamprologus_brichardi ENSNBRG00000013448
oreochromis_niloticus ENSONIG00000008259
amphilophus_citrinellus ENSACIG00000011414
amphiprion_percula ENSAPEG00000023117
amphiprion_ocellaris ENSAOCG00000017103
