anabas_testudineus ENSATEG00000002389
mastacembelus_armatus ENSMAMG00000014915
seriola_dumerili ENSSDUG00000010936
seriola_lalandi_dorsalis ENSSLDG00000025505
scophthalmus_maximus ENSSMAG00000008633
labrus_bergylta ENSLBEG00000008075
gasterosteus_aculeatus ENSGACG00000013213
labrus_bergylta ENSLBEG00000001397
mola_mola ENSMMOG00000015178
periophthalmus_magnuspinnatus ENSPMGG00000001295
tetraodon_nigroviridis ENSTNIG00000010946
takifugu_rubripes ENSTRUG00000014580
hippocampus_comes ENSHCOG00000012429
xiphophorus_maculatus ENSXMAG00000022180
xiphophorus_couchianus ENSXCOG00000007607
gambusia_affinis ENSGAFG00000005596
poecilia_latipinna ENSPLAG00000001022
poecilia_formosa ENSPFOG00000010538
poecilia_mexicana ENSPMEG00000006595
poecilia_reticulata ENSPREG00000012679
fundulus_heteroclitus ENSFHEG00000000779
kryptolebias_marmoratus ENSKMAG00000018397
oryzias_latipes ENSORLG00020002225
oryzias_latipes ENSORLG00000027151
oryzias_latipes_asm223469v1 ENSORLG00015020665
oryzias_melastigma ENSOMEG00000019174
astatotilapia_calliptera ENSACLG00000007716
maylandia_zebra ENSMZEG00005012494
haplochromis_burtoni ENSHBUG00000023381
pundamilia_nyererei ENSPNYG00000003981
neolamprologus_brichardi ENSNBRG00000022718
oreochromis_niloticus ENSONIG00000000680
amphilophus_citrinellus ENSACIG00000015596
amphiprion_ocellaris ENSAOCG00000011837
amphiprion_percula ENSAPEG00000018569
acanthochromis_polyacanthus ENSAPOG00000014954
acanthochromis_polyacanthus ENSAPOG00000009532
acanthochromis_polyacanthus ENSAPOG00000016315
stegastes_partitus ENSSPAG00000007087
gadus_morhua ENSGMOG00000011815
xenopus_tropicalis ENSXETG00000008240
ciona_intestinalis ENSCING00000018486
