cavia_aperea ENSCAPG00000006419
spermophilus_dauricus ENSSDAG00000014688
mustela_putorius_furo ENSMPUG00000010889
cercocebus_atys ENSCATG00000039528
mandrillus_leucophaeus ENSMLEG00000037993
theropithecus_gelada ENSTGEG00000009120
papio_anubis ENSPANG00000017925
chlorocebus_sabaeus ENSCSAG00000009867
macaca_nemestrina ENSMNEG00000036012
macaca_mulatta ENSMMUG00000008746
macaca_fascicularis ENSMFAG00000029863
piliocolobus_tephrosceles ENSPTEG00000016248
colobus_angolensis_palliatus ENSCANG00000000254
rhinopithecus_roxellana ENSRROG00000044715
rhinopithecus_bieti ENSRBIG00000008925
pan_troglodytes ENSPTRG00000007026
pan_paniscus ENSPPAG00000041951
homo_sapiens ENSG00000140279
gorilla_gorilla ENSGGOG00000011693
pongo_abelii ENSPPYG00000006438
nomascus_leucogenys ENSNLEG00000005749
cebus_capucinus ENSCCAG00000034804
saimiri_boliviensis_boliviensis ENSSBOG00000020226
callithrix_jacchus ENSCJAG00000002307
aotus_nancymaae ENSANAG00000023067
carlito_syrichta ENSTSYG00000014125
microcebus_murinus ENSMICG00000009164
propithecus_coquereli ENSPCOG00000018972
prolemur_simus ENSPSMG00000019904
otolemur_garnettii ENSOGAG00000012762
castor_canadensis ENSCCNG00000017931
dipodomys_ordii ENSDORG00000011040
mus_musculus ENSMUSG00000068452
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025127
mus_spicilegus ENSMSIG00000019473
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024210
mus_pahari MGP_PahariEiJ_G0025653
rattus_norvegicus ENSRNOG00000017395
meriones_unguiculatus ENSMUGG00000006893
cricetulus_griseus_crigri-picr ENSCGRG00015018797
cricetulus_griseus_chok1gshd ENSCGRG00001024853
cricetulus_griseus_crigri ENSCGRG00000008461
mesocricetus_auratus ENSMAUG00000014703
peromyscus_maniculatus_bairdii ENSPEMG00000015955
microtus_ochrogaster ENSMOCG00000019172
nannospalax_galili ENSNGAG00000014762
urocitellus_parryii ENSUPAG00010009883
ictidomys_tridecemlineatus ENSSTOG00000008727
spermophilus_dauricus ENSSDAG00000014641
marmota_marmota_marmota ENSMMMG00000017855
oryctolagus_cuniculus ENSOCUG00000014255
ochotona_princeps ENSOPRG00000004015
chinchilla_lanigera ENSCLAG00000009210
octodon_degus ENSODEG00000009257
heterocephalus_glaber_female ENSHGLG00000010033
heterocephalus_glaber_male ENSHGLG00100017025
fukomys_damarensis ENSFDAG00000011270
cavia_porcellus ENSCPOG00000007267
pteropus_vampyrus ENSPVAG00000005161
myotis_lucifugus ENSMLUG00000007000
equus_caballus ENSECAG00000017764
equus_asinus_asinus ENSEASG00005017953
ovis_aries ENSOARG00000021057
ovis_aries ENSOARG00000002283
capra_hircus ENSCHIG00000012801
bos_taurus ENSBTAG00000016234
bos_mutus ENSBMUG00000022619
bison_bison_bison ENSBBBG00000018501
tursiops_truncatus ENSTTRG00000013561
sus_scrofa ENSSSCG00000004678
ursus_americanus ENSUAMG00000024707
ursus_maritimus ENSUMAG00000017101
ailuropoda_melanoleuca ENSAMEG00000014940
neovison_vison ENSNVIG00000021471
mustela_putorius_furo ENSMPUG00000010854
canis_lupus_familiaris ENSCAFG00000013693
canis_lupus_dingo ENSCAFG00020022124
vulpes_vulpes ENSVVUG00000011752
panthera_pardus ENSPPRG00000006178
panthera_tigris_altaica ENSPTIG00000006269
felis_catus ENSFCAG00000007561
erinaceus_europaeus ENSEEUG00000007505
sorex_araneus ENSSARG00000007041
tupaia_belangeri ENSTBEG00000006997
loxodonta_africana ENSLAFG00000017067
procavia_capensis ENSPCAG00000003611
choloepus_hoffmanni ENSCHOG00000009288
dasypus_novemcinctus ENSDNOG00000018036
ornithorhynchus_anatinus ENSOANG00000011043
ornithorhynchus_anatinus ENSOANG00000020453
choloepus_hoffmanni ENSCHOG00000003200
vicugna_pacos ENSVPAG00000000473
sarcophilus_harrisii ENSSHAG00000017417
monodelphis_domestica ENSMODG00000017680
notamacropus_eugenii ENSMEUG00000004134
phascolarctos_cinereus ENSPCIG00000020309
calidris_pygmaea ENSCPGG00000001178
calidris_pugnax ENSCPUG00000002994
melopsittacus_undulatus ENSMUNG00000001106
taeniopygia_guttata ENSTGUG00000004765
lonchura_striata_domestica ENSLSDG00000011201
serinus_canaria ENSSCAG00000016330
cyanistes_caeruleus ENSCCEG00000003713
parus_major ENSPMJG00000007237
ficedula_albicollis ENSFALG00000009862
junco_hyemalis ENSJHYG00000013933
zonotrichia_albicollis ENSZALG00000015411
manacus_vitellinus ENSMVIG00005016994
lepidothrix_coronata ENSLCOG00000015213
anser_brachyrhynchus ENSABRG00000011733
anas_platyrhynchos_platyrhynchos ENSAPLG00000005182
gallus_gallus ENSGALG00000041510
coturnix_japonica ENSCJPG00005000755
meleagris_gallopavo ENSMGAG00000000994
numida_meleagris ENSNMEG00000008195
apteryx_owenii ENSAOWG00000002377
