dasypus_novemcinctus ENSDNOG00000035066
choloepus_hoffmanni ENSCHOG00000013079
procavia_capensis ENSPCAG00000005614
loxodonta_africana ENSLAFG00000005156
echinops_telfairi ENSETEG00000015621
mus_spicilegus ENSMSIG00000017406
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025426
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026376
mus_musculus ENSMUSG00000033233
mus_pahari MGP_PahariEiJ_G0026870
rattus_norvegicus ENSRNOG00000015347
meriones_unguiculatus ENSMUGG00000011504
peromyscus_maniculatus_bairdii ENSPEMG00000007787
microtus_ochrogaster ENSMOCG00000000422
cricetulus_griseus_crigri-picr ENSCGRG00015025744
cricetulus_griseus_crigri ENSCGRG00000018108
cricetulus_griseus_chok1gshd ENSCGRG00001000157
mesocricetus_auratus ENSMAUG00000013623
nannospalax_galili ENSNGAG00000009066
jaculus_jaculus ENSJJAG00000007227
urocitellus_parryii ENSUPAG00010013268
ictidomys_tridecemlineatus ENSSTOG00000007369
spermophilus_dauricus ENSSDAG00000020222
marmota_marmota_marmota ENSMMMG00000015213
chinchilla_lanigera ENSCLAG00000010898
octodon_degus ENSODEG00000007020
heterocephalus_glaber_female ENSHGLG00000017735
heterocephalus_glaber_male ENSHGLG00100002106
fukomys_damarensis ENSFDAG00000009916
castor_canadensis ENSCCNG00000006235
castor_canadensis ENSCCNG00000011681
ochotona_princeps ENSOPRG00000006510
oryctolagus_cuniculus ENSOCUG00000000237
tupaia_belangeri ENSTBEG00000004082
propithecus_coquereli ENSPCOG00000015272
prolemur_simus ENSPSMG00000015160
microcebus_murinus ENSMICG00000009751
otolemur_garnettii ENSOGAG00000006634
pan_troglodytes ENSPTRG00000001163
pan_paniscus ENSPPAG00000027104
homo_sapiens ENSG00000134253
gorilla_gorilla ENSGGOG00000014996
pongo_abelii ENSPPYG00000000975
nomascus_leucogenys ENSNLEG00000005248
macaca_nemestrina ENSMNEG00000035138
macaca_fascicularis ENSMFAG00000039230
macaca_mulatta ENSMMUG00000015976
chlorocebus_sabaeus ENSCSAG00000001700
cercocebus_atys ENSCATG00000000941
mandrillus_leucophaeus ENSMLEG00000034608
papio_anubis ENSPANG00000012295
theropithecus_gelada ENSTGEG00000007799
piliocolobus_tephrosceles ENSPTEG00000033233
colobus_angolensis_palliatus ENSCANG00000031013
rhinopithecus_roxellana ENSRROG00000032031
rhinopithecus_bieti ENSRBIG00000027871
cebus_capucinus ENSCCAG00000010371
saimiri_boliviensis_boliviensis ENSSBOG00000033971
callithrix_jacchus ENSCJAG00000005897
aotus_nancymaae ENSANAG00000020776
myotis_lucifugus ENSMLUG00000013923
pteropus_vampyrus ENSPVAG00000015389
equus_asinus_asinus ENSEASG00005006386
equus_caballus ENSECAG00000010259
erinaceus_europaeus ENSEEUG00000012256
sorex_araneus ENSSARG00000007644
ovis_aries ENSOARG00000020290
capra_hircus ENSCHIG00000018385
bos_mutus ENSBMUG00000016474
bos_taurus ENSBTAG00000001748
bison_bison_bison ENSBBBG00000012597
tursiops_truncatus ENSTTRG00000015131
sus_scrofa ENSSSCG00000006732
ursus_americanus ENSUAMG00000026132
ursus_maritimus ENSUMAG00000004655
ailuropoda_melanoleuca ENSAMEG00000005240
neovison_vison ENSNVIG00000000318
mustela_putorius_furo ENSMPUG00000001600
canis_lupus_dingo ENSCAFG00020020769
canis_lupus_familiaris ENSCAFG00000009851
vulpes_vulpes ENSVVUG00000010421
panthera_tigris_altaica ENSPTIG00000010832
panthera_pardus ENSPPRG00000001987
felis_catus ENSFCAG00000005204
notamacropus_eugenii ENSMEUG00000011137
phascolarctos_cinereus ENSPCIG00000003500
monodelphis_domestica ENSMODG00000005160
sarcophilus_harrisii ENSSHAG00000018250
parus_major ENSPMJG00000010355
cyanistes_caeruleus ENSCCEG00000015158
ficedula_albicollis ENSFALG00000005179
taeniopygia_guttata ENSTGUG00000013366
lonchura_striata_domestica ENSLSDG00000006549
junco_hyemalis ENSJHYG00000008658
zonotrichia_albicollis ENSZALG00000018032
serinus_canaria ENSSCAG00000010874
lepidothrix_coronata ENSLCOG00000001511
manacus_vitellinus ENSMVIG00005012009
melopsittacus_undulatus ENSMUNG00000003221
calidris_pygmaea ENSCPGG00000008076
calidris_pugnax ENSCPUG00000006089
anser_brachyrhynchus ENSABRG00000000261
anas_platyrhynchos_platyrhynchos ENSAPLG00000015615
meleagris_gallopavo ENSMGAG00000014253
coturnix_japonica ENSCJPG00005017208
gallus_gallus ENSGALG00000014818
apteryx_haastii ENSAHAG00000009601
apteryx_owenii ENSAOWG00000015413
apteryx_rowi ENSARWG00000007991
dromaius_novaehollandiae ENSDNVG00000007160
crocodylus_porosus ENSCPRG00005001558
gopherus_agassizii ENSGAGG00000020427
chelonoidis_abingdonii ENSCABG00000018076
chrysemys_picta_bellii ENSCPBG00000001736
pelodiscus_sinensis ENSPSIG00000015385
sphenodon_punctatus ENSSPUG00000015481
salvator_merianae ENSSMRG00000011066
latimeria_chalumnae ENSLACG00000014852
microcebus_murinus ENSMICG00000007653
propithecus_coquereli ENSPCOG00000026132
prolemur_simus ENSPSMG00000002954
otolemur_garnettii ENSOGAG00000001935
homo_sapiens ENSG00000132481
gorilla_gorilla ENSGGOG00000009236
pan_troglodytes ENSPTRG00000009661
pan_paniscus ENSPPAG00000028112
pongo_abelii ENSPPYG00000008641
rhinopithecus_roxellana ENSRROG00000032852
rhinopithecus_bieti ENSRBIG00000042026
piliocolobus_tephrosceles ENSPTEG00000039685
papio_anubis ENSPANG00000020078
theropithecus_gelada ENSTGEG00000002229
cercocebus_atys ENSCATG00000045323
macaca_mulatta ENSMMUG00000009377
macaca_nemestrina ENSMNEG00000040185
macaca_fascicularis ENSMFAG00000040084
chlorocebus_sabaeus ENSCSAG00000004896
cebus_capucinus ENSCCAG00000023282
saimiri_boliviensis_boliviensis ENSSBOG00000032282
aotus_nancymaae ENSANAG00000033401
castor_canadensis ENSCCNG00000015006
dipodomys_ordii ENSDORG00000008144
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018275
mus_spicilegus ENSMSIG00000027335
mus_musculus ENSMUSG00000020773
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017430
mus_pahari MGP_PahariEiJ_G0018559
rattus_norvegicus ENSRNOG00000008215
meriones_unguiculatus ENSMUGG00000000400
cricetulus_griseus_crigri-picr ENSCGRG00015007179
cricetulus_griseus_chok1gshd ENSCGRG00001024475
mesocricetus_auratus ENSMAUG00000017693
peromyscus_maniculatus_bairdii ENSPEMG00000016814
microtus_ochrogaster ENSMOCG00000017116
nannospalax_galili ENSNGAG00000013014
jaculus_jaculus ENSJJAG00000011636
heterocephalus_glaber_male ENSHGLG00100006146
heterocephalus_glaber_female ENSHGLG00000015373
fukomys_damarensis ENSFDAG00000015409
chinchilla_lanigera ENSCLAG00000008148
octodon_degus ENSODEG00000011870
cavia_porcellus ENSCPOG00000037371
cavia_aperea ENSCAPG00000011936
urocitellus_parryii ENSUPAG00010024010
ictidomys_tridecemlineatus ENSSTOG00000013386
spermophilus_dauricus ENSSDAG00000006427
marmota_marmota_marmota ENSMMMG00000010055
oryctolagus_cuniculus ENSOCUG00000006661
ochotona_princeps ENSOPRG00000001377
tupaia_belangeri ENSTBEG00000016386
pteropus_vampyrus ENSPVAG00000008464
myotis_lucifugus ENSMLUG00000014887
equus_asinus_asinus ENSEASG00005002612
equus_caballus ENSECAG00000022018
sus_scrofa ENSSSCG00000017199
tursiops_truncatus ENSTTRG00000015893
bos_mutus ENSBMUG00000009733
bos_taurus ENSBTAG00000018920
bison_bison_bison ENSBBBG00000020624
capra_hircus ENSCHIG00000016592
ovis_aries ENSOARG00000009079
ursus_americanus ENSUAMG00000003685
ursus_maritimus ENSUMAG00000010694
ailuropoda_melanoleuca ENSAMEG00000009928
neovison_vison ENSNVIG00000011613
mustela_putorius_furo ENSMPUG00000013773
canis_lupus_dingo ENSCAFG00020004657
canis_lupus_familiaris ENSCAFG00000004953
vulpes_vulpes ENSVVUG00000014911
felis_catus ENSFCAG00000005761
panthera_pardus ENSPPRG00000012820
erinaceus_europaeus ENSEEUG00000015165
panthera_tigris_altaica ENSPTIG00000006661
carlito_syrichta ENSTSYG00000026333
cricetulus_griseus_crigri ENSCGRG00000014862
mandrillus_leucophaeus ENSMLEG00000024755
colobus_angolensis_palliatus ENSCANG00000028140
nomascus_leucogenys ENSNLEG00000001753
loxodonta_africana ENSLAFG00000004318
phascolarctos_cinereus ENSPCIG00000020279
notamacropus_eugenii ENSMEUG00000005714
monodelphis_domestica ENSMODG00000007743
sarcophilus_harrisii ENSSHAG00000002508
ornithorhynchus_anatinus ENSOANG00000012910
serinus_canaria ENSSCAG00000002836
xenopus_tropicalis ENSXETG00000017042
seriola_lalandi_dorsalis ENSSLDG00000023437
seriola_dumerili ENSSDUG00000014452
gasterosteus_aculeatus ENSGACG00000008289
mastacembelus_armatus ENSMAMG00000020780
monopterus_albus ENSMALG00000020265
anabas_testudineus ENSATEG00000000552
poecilia_latipinna ENSPLAG00000014378
poecilia_mexicana ENSPMEG00000009367
poecilia_latipinna ENSPLAG00000015267
poecilia_mexicana ENSPMEG00000000934
poecilia_formosa ENSPFOG00000017853
poecilia_reticulata ENSPREG00000019415
xiphophorus_maculatus ENSXMAG00000009820
xiphophorus_couchianus ENSXCOG00000018242
gambusia_affinis ENSGAFG00000013061
fundulus_heteroclitus ENSFHEG00000012022
cyprinodon_variegatus ENSCVAG00000014867
kryptolebias_marmoratus ENSKMAG00000016205
astatotilapia_calliptera ENSACLG00000016733
maylandia_zebra ENSMZEG00005019437
