pan_paniscus ENSPPAG00000043976
pan_troglodytes ENSPTRG00000048244
homo_sapiens ENSG00000268629
gorilla_gorilla ENSGGOG00000003783
pongo_abelii ENSPPYG00000020598
nomascus_leucogenys ENSNLEG00000013652
mandrillus_leucophaeus ENSMLEG00000041072
cercocebus_atys ENSCATG00000029874
macaca_fascicularis ENSMFAG00000002552
macaca_mulatta ENSMMUG00000006684
macaca_nemestrina ENSMNEG00000014712
papio_anubis ENSPANG00000012052
theropithecus_gelada ENSTGEG00000013963
chlorocebus_sabaeus ENSCSAG00000009316
colobus_angolensis_palliatus ENSCANG00000004860
piliocolobus_tephrosceles ENSPTEG00000001984
rhinopithecus_bieti ENSRBIG00000027834
rhinopithecus_roxellana ENSRROG00000040725
cebus_capucinus ENSCCAG00000027185
saimiri_boliviensis_boliviensis ENSSBOG00000025355
callithrix_jacchus ENSCJAG00000008219
aotus_nancymaae ENSANAG00000029833
gorilla_gorilla ENSGGOG00000026711
microcebus_murinus ENSMICG00000014355
propithecus_coquereli ENSPCOG00000002575
