cyprinodon_variegatus ENSCVAG00000007846
neolamprologus_brichardi ENSNBRG00000014952
poecilia_mexicana ENSPMEG00000021054
poecilia_formosa ENSPFOG00000010570
poecilia_reticulata ENSPREG00000011207
xiphophorus_couchianus ENSXCOG00000003757
xiphophorus_maculatus ENSXMAG00000026603
gambusia_affinis ENSGAFG00000020768
fundulus_heteroclitus ENSFHEG00000021215
kryptolebias_marmoratus ENSKMAG00000020264
oryzias_latipes ENSORLG00000006610
oryzias_latipes ENSORLG00020008377
oryzias_latipes_asm223469v1 ENSORLG00015001553
oryzias_melastigma ENSOMEG00000019319
astatotilapia_calliptera ENSACLG00000014155
maylandia_zebra ENSMZEG00005000649
haplochromis_burtoni ENSHBUG00000018301
oreochromis_niloticus ENSONIG00000015504
maylandia_zebra ENSMZEG00005000628
haplochromis_burtoni ENSHBUG00000018290
pundamilia_nyererei ENSPNYG00000014991
neolamprologus_brichardi ENSNBRG00000014925
neolamprologus_brichardi ENSNBRG00000014940
astatotilapia_calliptera ENSACLG00000014161
amphilophus_citrinellus ENSACIG00000004657
amphilophus_citrinellus ENSACIG00000004665
amphiprion_ocellaris ENSAOCG00000019371
amphiprion_percula ENSAPEG00000021695
acanthochromis_polyacanthus ENSAPOG00000009326
stegastes_partitus ENSSPAG00000011597
seriola_dumerili ENSSDUG00000013131
seriola_lalandi_dorsalis ENSSLDG00000011762
scophthalmus_maximus ENSSMAG00000013697
anabas_testudineus ENSATEG00000010231
tetraodon_nigroviridis ENSTNIG00000006555
tetraodon_nigroviridis ENSTNIG00000008438
takifugu_rubripes ENSTRUG00000015338
mola_mola ENSMMOG00000001550
cynoglossus_semilaevis ENSCSEG00000007385
mastacembelus_armatus ENSMAMG00000005560
labrus_bergylta ENSLBEG00000014647
hippocampus_comes ENSHCOG00000015337
hippocampus_comes ENSHCOG00000008970
periophthalmus_magnuspinnatus ENSPMGG00000016273
pygocentrus_nattereri ENSPNAG00000006643
xenopus_tropicalis ENSXETG00000019452
phascolarctos_cinereus ENSPCIG00000015869
notamacropus_eugenii ENSMEUG00000013812
monodelphis_domestica ENSMODG00000009808
sarcophilus_harrisii ENSSHAG00000010679
callithrix_jacchus ENSCJAG00000017890
cebus_capucinus ENSCCAG00000025553
aotus_nancymaae ENSANAG00000020218
pan_paniscus ENSPPAG00000029628
pan_troglodytes ENSPTRG00000007266
gorilla_gorilla ENSGGOG00000014823
homo_sapiens ENSG00000140464
pongo_abelii ENSPPYG00000006631
nomascus_leucogenys ENSNLEG00000014321
colobus_angolensis_palliatus ENSCANG00000023529
piliocolobus_tephrosceles ENSPTEG00000024450
rhinopithecus_roxellana ENSRROG00000016531
rhinopithecus_bieti ENSRBIG00000041271
macaca_fascicularis ENSMFAG00000002332
macaca_nemestrina ENSMNEG00000042882
macaca_mulatta ENSMMUG00000002569
cercocebus_atys ENSCATG00000031016
mandrillus_leucophaeus ENSMLEG00000027159
papio_anubis ENSPANG00000016054
theropithecus_gelada ENSTGEG00000027993
saimiri_boliviensis_boliviensis ENSSBOG00000015981
chlorocebus_sabaeus ENSCSAG00000014099
carlito_syrichta ENSTSYG00000028333
propithecus_coquereli ENSPCOG00000022112
prolemur_simus ENSPSMG00000006960
microcebus_murinus ENSMICG00000005147
otolemur_garnettii ENSOGAG00000007066
tupaia_belangeri ENSTBEG00000012807
castor_canadensis ENSCCNG00000027667
dipodomys_ordii ENSDORG00000009159
chinchilla_lanigera ENSCLAG00000011948
octodon_degus ENSODEG00000015195
cavia_porcellus ENSCPOG00000001304
heterocephalus_glaber_female ENSHGLG00000016489
heterocephalus_glaber_male ENSHGLG00100001273
fukomys_damarensis ENSFDAG00000018757
mus_spicilegus ENSMSIG00000007173
mus_musculus ENSMUSG00000036986
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033430
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032290
mus_pahari MGP_PahariEiJ_G0015156
rattus_norvegicus ENSRNOG00000008400
meriones_unguiculatus ENSMUGG00000003229
meriones_unguiculatus ENSMUGG00000003294
cricetulus_griseus_chok1gshd ENSCGRG00001007798
cricetulus_griseus_crigri ENSCGRG00000013861
mesocricetus_auratus ENSMAUG00000014753
microtus_ochrogaster ENSMOCG00000015476
peromyscus_maniculatus_bairdii ENSPEMG00000020243
nannospalax_galili ENSNGAG00000004583
jaculus_jaculus ENSJJAG00000001302
urocitellus_parryii ENSUPAG00010005190
ictidomys_tridecemlineatus ENSSTOG00000013606
spermophilus_dauricus ENSSDAG00000008656
marmota_marmota_marmota ENSMMMG00000003312
oryctolagus_cuniculus ENSOCUG00000002183
sorex_araneus ENSSARG00000002311
loxodonta_africana ENSLAFG00000002717
procavia_capensis ENSPCAG00000005059
echinops_telfairi ENSETEG00000019736
dasypus_novemcinctus ENSDNOG00000040800
choloepus_hoffmanni ENSCHOG00000004317
bos_mutus ENSBMUG00000015278
bos_taurus ENSBTAG00000015779
bison_bison_bison ENSBBBG00000009892
capra_hircus ENSCHIG00000008989
ovis_aries ENSOARG00000004233
tursiops_truncatus ENSTTRG00000000061
sus_scrofa ENSSSCG00000001912
pteropus_vampyrus ENSPVAG00000000302
myotis_lucifugus ENSMLUG00000011733
equus_caballus ENSECAG00000004617
equus_asinus_asinus ENSEASG00005005165
ursus_maritimus ENSUMAG00000005257
ursus_americanus ENSUAMG00000025317
ailuropoda_melanoleuca ENSAMEG00000009174
neovison_vison ENSNVIG00000012499
mustela_putorius_furo ENSMPUG00000017266
canis_lupus_dingo ENSCAFG00020004146
canis_lupus_familiaris ENSCAFG00000025384
vulpes_vulpes ENSVVUG00000018496
panthera_pardus ENSPPRG00000014030
panthera_tigris_altaica ENSPTIG00000012076
felis_catus ENSFCAG00000003098
ornithorhynchus_anatinus ENSOANG00000008921
pogona_vitticeps ENSPVIG00000009206
notechis_scutatus ENSNSUG00000019614
sphenodon_punctatus ENSSPUG00000006351
gopherus_agassizii ENSGAGG00000009531
chelonoidis_abingdonii ENSCABG00000022644
chrysemys_picta_bellii ENSCPBG00000008704
pelodiscus_sinensis ENSPSIG00000009015
pelodiscus_sinensis ENSPSIG00000014348
lepisosteus_oculatus ENSLOCG00000014935
