numida_meleagris ENSNMEG00000012562
coturnix_japonica ENSCJPG00005019159
anas_platyrhynchos_platyrhynchos ENSAPLG00000025595
manacus_vitellinus ENSMVIG00005007138
nothoprocta_perdicaria ENSNPEG00000011456
crocodylus_porosus ENSCPRG00005000276
melopsittacus_undulatus ENSMUNG00000013292
calidris_pygmaea ENSCPGG00000014683
apteryx_haastii ENSAHAG00000018652
apteryx_owenii ENSAOWG00000005737
apteryx_rowi ENSARWG00000009575
dromaius_novaehollandiae ENSDNVG00000000118
salvator_merianae ENSSMRG00000008820
notechis_scutatus ENSNSUG00000020512
phascolarctos_cinereus ENSPCIG00000027726
