gouania_willdenowi ENSGWIG00000014613
cyprinodon_variegatus ENSCVAG00000015209
astatotilapia_calliptera ENSACLG00000017140
pundamilia_nyererei ENSPNYG00000012913
haplochromis_burtoni ENSHBUG00000013910
maylandia_zebra ENSMZEG00005022541
oreochromis_niloticus ENSONIG00000015379
neolamprologus_brichardi ENSNBRG00000017154
amphilophus_citrinellus ENSACIG00000002831
xiphophorus_maculatus ENSXMAG00000015911
xiphophorus_couchianus ENSXCOG00000016973
gambusia_affinis ENSGAFG00000020669
poecilia_mexicana ENSPMEG00000014161
poecilia_latipinna ENSPLAG00000006986
poecilia_formosa ENSPFOG00000005797
poecilia_reticulata ENSPREG00000009697
fundulus_heteroclitus ENSFHEG00000006643
kryptolebias_marmoratus ENSKMAG00000018762
oryzias_latipes ENSORLG00000007253
oryzias_latipes ENSORLG00020006799
oryzias_latipes ENSORLG00015020860
oryzias_melastigma ENSOMEG00000022164
lates_calcarifer ENSLCAG00010011476
scophthalmus_maximus ENSSMAG00000015462
amphiprion_ocellaris ENSAOCG00000018651
amphiprion_percula ENSAPEG00000019980
acanthochromis_polyacanthus ENSAPOG00000007030
mola_mola ENSMMOG00000002982
seriola_dumerili ENSSDUG00000008698
seriola_lalandi ENSSLDG00000024172
stegastes_partitus ENSSPAG00000018089
cottoperca_gobio ENSCGOG00000007590
mastacembelus_armatus ENSMAMG00000007025
monopterus_albus ENSMALG00000008572
takifugu_rubripes ENSTRUG00000013548
tetraodon_nigroviridis ENSTNIG00000008414
larimichthys_crocea ENSLCRG00005011208
gasterosteus_aculeatus ENSGACG00000004675
labrus_bergylta ENSLBEG00000016670
cynoglossus_semilaevis ENSCSEG00000006503
anabas_testudineus ENSATEG00000008491
parambassis_ranga ENSPRNG00000013787
hippocampus_comes ENSHCOG00000000394
periophthalmus_magnuspinnatus ENSPMGG00000007464
gadus_morhua ENSGMOG00000008328
esox_lucius ENSELUG00000003435
hucho_hucho ENSHHUG00000011488
astyanax_mexicanus ENSAMXG00005012573
astyanax_mexicanus ENSAMXG00000017897
pygocentrus_nattereri ENSPNAG00000012935
electrophorus_electricus ENSEEEG00000001678
ictalurus_punctatus ENSIPUG00000021837
danio_rerio ENSDARG00000061946
denticeps_clupeoides ENSDCDG00000022776
clupea_harengus ENSCHAG00000005256
paramormyrops_kingsleyae ENSPKIG00000006908
scleropages_formosus ENSSFOG00015023876
lepisosteus_oculatus ENSLOCG00000014904
erpetoichthys_calabaricus ENSECRG00000021460
latimeria_chalumnae ENSLACG00000016805
pogona_vitticeps ENSPVIG00000006535
notechis_scutatus ENSNSUG00000019616
salvator_merianae ENSSMRG00000001915
sphenodon_punctatus ENSSPUG00000008949
gopherus_agassizii ENSGAGG00000014455
chelonoidis_abingdonii ENSCABG00000018054
chelonoidis_abingdonii ENSCABG00000011609
chelonoidis_abingdonii ENSCABG00000018146
