loxodonta_africana ENSLAFG00000012067
procavia_capensis ENSPCAG00000002999
echinops_telfairi ENSETEG00000014696
vicugna_pacos ENSVPAG00000007204
sus_scrofa ENSSSCG00000006447
capra_hircus ENSCHIG00000012237
ovis_aries ENSOARG00000007107
bos_taurus ENSBTAG00000000574
bos_mutus ENSBMUG00000016155
bison_bison_bison ENSBBBG00000021664
equus_asinus_asinus ENSEASG00005003403
equus_caballus ENSECAG00000003653
ursus_americanus ENSUAMG00000026629
ursus_maritimus ENSUMAG00000004306
ailuropoda_melanoleuca ENSAMEG00000018584
neovison_vison ENSNVIG00000021837
mustela_putorius_furo ENSMPUG00000019461
canis_lupus_familiaris ENSCAFG00000025439
canis_lupus_dingo ENSCAFG00020019335
vulpes_vulpes ENSVVUG00000017891
panthera_pardus ENSPPRG00000017758
panthera_tigris_altaica ENSPTIG00000006076
felis_catus ENSFCAG00000024060
erinaceus_europaeus ENSEEUG00000004583
myotis_lucifugus ENSMLUG00000016005
pteropus_vampyrus ENSPVAG00000000847
homo_sapiens ENSG00000198967
gorilla_gorilla ENSGGOG00000011432
pan_troglodytes ENSPTRG00000023410
pongo_abelii ENSPPYG00000010611
nomascus_leucogenys ENSNLEG00000019154
theropithecus_gelada ENSTGEG00000004064
chlorocebus_sabaeus ENSCSAG00000002405
piliocolobus_tephrosceles ENSPTEG00000017412
callithrix_jacchus ENSCJAG00000022043
carlito_syrichta ENSTSYG00000036204
carlito_syrichta ENSTSYG00000010268
otolemur_garnettii ENSOGAG00000000256
mus_musculus ENSMUSG00000050788
mus_spicilegus ENSMSIG00000012446
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015735
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014935
mus_pahari MGP_PahariEiJ_G0028168
rattus_norvegicus ENSRNOG00000003555
meriones_unguiculatus ENSMUGG00000010488
cricetulus_griseus_crigri ENSCGRG00000018607
cricetulus_griseus_crigri-picr ENSCGRG00015015303
cricetulus_griseus_chok1gshd ENSCGRG00001012508
mesocricetus_auratus ENSMAUG00000001447
microtus_ochrogaster ENSMOCG00000005345
peromyscus_maniculatus_bairdii ENSPEMG00000006013
castor_canadensis ENSCCNG00000029973
ictidomys_tridecemlineatus ENSSTOG00000015251
urocitellus_parryii ENSUPAG00010010827
spermophilus_dauricus ENSSDAG00000014960
marmota_marmota_marmota ENSMMMG00000000209
chinchilla_lanigera ENSCLAG00000017848
cavia_porcellus ENSCPOG00000038071
heterocephalus_glaber_male ENSHGLG00100020286
heterocephalus_glaber_female ENSHGLG00000020506
oryctolagus_cuniculus ENSOCUG00000007756
ochotona_princeps ENSOPRG00000001248
choloepus_hoffmanni ENSCHOG00000005019
dasypus_novemcinctus ENSDNOG00000017306
notamacropus_eugenii ENSMEUG00000009230
phascolarctos_cinereus ENSPCIG00000003259
monodelphis_domestica ENSMODG00000010352
sarcophilus_harrisii ENSSHAG00000010631
