papio_anubis ENSPANG00000031029
cavia_aperea ENSCAPG00000000325
erinaceus_europaeus ENSEEUG00000011421
gopherus_agassizii ENSGAGG00000025767
xenopus_tropicalis ENSXETG00000020838
urocitellus_parryii ENSUPAG00010010762
spermophilus_dauricus ENSSDAG00000017052
cercocebus_atys ENSCATG00000037588
monodelphis_domestica ENSMODG00000002205
sarcophilus_harrisii ENSSHAG00000017645
phascolarctos_cinereus ENSPCIG00000024874
notamacropus_eugenii ENSMEUG00000013591
bos_mutus ENSBMUG00000003982
bos_taurus ENSBTAG00000049309
capra_hircus ENSCHIG00000011331
ailuropoda_melanoleuca ENSAMEG00000004542
sorex_araneus ENSSARG00000008033
aotus_nancymaae ENSANAG00000024618
cebus_capucinus ENSCCAG00000029847
callithrix_jacchus ENSCJAG00000022551
aotus_nancymaae ENSANAG00000034131
piliocolobus_tephrosceles ENSPTEG00000010250
microcebus_murinus ENSMICG00000037757
octodon_degus ENSODEG00000019845
octodon_degus ENSODEG00000007644
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025535
mus_spicilegus ENSMSIG00000019199
mus_musculus ENSMUSG00000048100
peromyscus_maniculatus_bairdii ENSPEMG00000029393
urocitellus_parryii ENSUPAG00010015364
marmota_marmota_marmota ENSMMMG00000007438
pan_paniscus ENSPPAG00000038108
homo_sapiens ENSG00000197780
nomascus_leucogenys ENSNLEG00000002350
macaca_fascicularis ENSMFAG00000001660
prolemur_simus ENSPSMG00000006965
dipodomys_ordii ENSDORG00000027894
theropithecus_gelada ENSTGEG00000000849
cercocebus_atys ENSCATG00000040400
callithrix_jacchus ENSCJAG00000002701
nannospalax_galili ENSNGAG00000010727
mus_pahari MGP_PahariEiJ_G0026981
cricetulus_griseus_crigri ENSCGRG00000002079
cricetulus_griseus_chok1gshd ENSCGRG00001021904
octodon_degus ENSODEG00000005360
castor_canadensis ENSCCNG00000017675
pan_troglodytes ENSPTRG00000023965
gorilla_gorilla ENSGGOG00000009529
macaca_mulatta ENSMMUG00000001010
chinchilla_lanigera ENSCLAG00000004606
rattus_norvegicus ENSRNOG00000020315
rhinopithecus_roxellana ENSRROG00000039468
loxodonta_africana ENSLAFG00000011432
echinops_telfairi ENSETEG00000020085
otolemur_garnettii ENSOGAG00000013494
otolemur_garnettii ENSOGAG00000027175
microcebus_murinus ENSMICG00000030691
jaculus_jaculus ENSJJAG00000015323
canis_lupus_dingo ENSCAFG00020022696
canis_lupus_familiaris ENSCAFG00000019855
vulpes_vulpes ENSVVUG00000000852
myotis_lucifugus ENSMLUG00000008275
myotis_lucifugus ENSMLUG00000013962
propithecus_coquereli ENSPCOG00000026394
cebus_capucinus ENSCCAG00000019066
mesocricetus_auratus ENSMAUG00000006393
mus_spicilegus ENSMSIG00000019692
fukomys_damarensis ENSFDAG00000008885
spermophilus_dauricus ENSSDAG00000013588
marmota_marmota_marmota ENSMMMG00000020316
ictidomys_tridecemlineatus ENSSTOG00000011144
macaca_nemestrina ENSMNEG00000042409
chlorocebus_sabaeus ENSCSAG00000001538
rhinopithecus_roxellana ENSRROG00000033343
aotus_nancymaae ENSANAG00000031122
aotus_nancymaae ENSANAG00000006922
saimiri_boliviensis_boliviensis ENSSBOG00000017802
mustela_putorius_furo ENSMPUG00000002784
neovison_vison ENSNVIG00000023898
ursus_maritimus ENSUMAG00000012784
pteropus_vampyrus ENSPVAG00000008895
ovis_aries ENSOARG00000019038
bison_bison_bison ENSBBBG00000009339
microtus_ochrogaster ENSMOCG00000015026
microtus_ochrogaster ENSMOCG00000008667
mesocricetus_auratus ENSMAUG00000006885
meriones_unguiculatus ENSMUGG00000024098
heterocephalus_glaber_female ENSHGLG00000012130
heterocephalus_glaber_male ENSHGLG00100019239
felis_catus ENSFCAG00000033378
sus_scrofa ENSSSCG00000020842
panthera_pardus ENSPPRG00000011859
panthera_tigris_altaica ENSPTIG00000019070
tursiops_truncatus ENSTTRG00000003167
cavia_porcellus ENSCPOG00000032023
heterocephalus_glaber_female ENSHGLG00000016250
heterocephalus_glaber_male ENSHGLG00100014186
mandrillus_leucophaeus ENSMLEG00000039350
