scophthalmus_maximus ENSSMAG00000002998
cynoglossus_semilaevis ENSCSEG00000000242
seriola_dumerili ENSSDUG00000001996
seriola_lalandi_dorsalis ENSSLDG00000019491
labrus_bergylta ENSLBEG00000002656
amphiprion_percula ENSAPEG00000023987
amphiprion_ocellaris ENSAOCG00000005848
acanthochromis_polyacanthus ENSAPOG00000014512
stegastes_partitus ENSSPAG00000011003
cyprinodon_variegatus ENSCVAG00000021431
fundulus_heteroclitus ENSFHEG00000016321
xiphophorus_maculatus ENSXMAG00000015385
xiphophorus_couchianus ENSXCOG00000009479
gambusia_affinis ENSGAFG00000015449
poecilia_formosa ENSPFOG00000003028
poecilia_latipinna ENSPLAG00000004426
poecilia_mexicana ENSPMEG00000005133
poecilia_reticulata ENSPREG00000011097
kryptolebias_marmoratus ENSKMAG00000004170
oryzias_latipes_asm223469v1 ENSORLG00015007480
oryzias_latipes ENSORLG00000016123
oryzias_latipes ENSORLG00020008095
oryzias_melastigma ENSOMEG00000022721
pundamilia_nyererei ENSPNYG00000022951
haplochromis_burtoni ENSHBUG00000020492
maylandia_zebra ENSMZEG00005020423
astatotilapia_calliptera ENSACLG00000022658
neolamprologus_brichardi ENSNBRG00000006105
oreochromis_niloticus ENSONIG00000020150
amphilophus_citrinellus ENSACIG00000006481
hippocampus_comes ENSHCOG00000004265
mastacembelus_armatus ENSMAMG00000003436
monopterus_albus ENSMALG00000006764
anabas_testudineus ENSATEG00000022236
gasterosteus_aculeatus ENSGACG00000007981
mola_mola ENSMMOG00000000586
takifugu_rubripes ENSTRUG00000002505
periophthalmus_magnuspinnatus ENSPMGG00000011423
gadus_morhua ENSGMOG00000015739
gadus_morhua ENSGMOG00000010298
gadus_morhua ENSGMOG00000002977
esox_lucius ENSELUG00000008973
pygocentrus_nattereri ENSPNAG00000001296
astyanax_mexicanus ENSAMXG00000008130
ictalurus_punctatus ENSIPUG00000000734
danio_rerio ENSDARG00000052942
scleropages_formosus ENSSFOG00015015394
paramormyrops_kingsleyae ENSPKIG00000004729
lepisosteus_oculatus ENSLOCG00000012905
anolis_carolinensis ENSACAG00000010962
pogona_vitticeps ENSPVIG00000002771
notechis_scutatus ENSNSUG00000018262
salvator_merianae ENSSMRG00000001839
sphenodon_punctatus ENSSPUG00000004653
meleagris_gallopavo ENSMGAG00000013435
coturnix_japonica ENSCJPG00005002984
gallus_gallus ENSGALG00000011572
numida_meleagris ENSNMEG00000016275
anser_brachyrhynchus ENSABRG00000012178
anas_platyrhynchos_platyrhynchos ENSAPLG00000008103
taeniopygia_guttata ENSTGUG00000012891
lonchura_striata_domestica ENSLSDG00000016877
serinus_canaria ENSSCAG00000006462
parus_major ENSPMJG00000000689
cyanistes_caeruleus ENSCCEG00000014772
ficedula_albicollis ENSFALG00000002919
junco_hyemalis ENSJHYG00000012211
zonotrichia_albicollis ENSZALG00000006140
lepidothrix_coronata ENSLCOG00000005984
manacus_vitellinus ENSMVIG00005007894
calidris_pygmaea ENSCPGG00000001420
calidris_pugnax ENSCPUG00000004114
melopsittacus_undulatus ENSMUNG00000002404
dromaius_novaehollandiae ENSDNVG00000005404
nothoprocta_perdicaria ENSNPEG00000003824
apteryx_haastii ENSAHAG00000005723
apteryx_owenii ENSAOWG00000005845
apteryx_rowi ENSARWG00000014921
crocodylus_porosus ENSCPRG00005015909
gopherus_agassizii ENSGAGG00000022926
chelonoidis_abingdonii ENSCABG00000022017
chrysemys_picta_bellii ENSCPBG00000020202
pelodiscus_sinensis ENSPSIG00000012799
anolis_carolinensis ENSACAG00000024024
pogona_vitticeps ENSPVIG00000002767
salvator_merianae ENSSMRG00000001864
xenopus_tropicalis ENSXETG00000023076
eptatretus_burgeri ENSEBUG00000010114
phascolarctos_cinereus ENSPCIG00000020604
notamacropus_eugenii ENSMEUG00000012247
sarcophilus_harrisii ENSSHAG00000012851
monodelphis_domestica ENSMODG00000013615
echinops_telfairi ENSETEG00000001674
loxodonta_africana ENSLAFG00000031455
erinaceus_europaeus ENSEEUG00000012934
ovis_aries ENSOARG00000007347
castor_canadensis ENSCCNG00000028432
dipodomys_ordii ENSDORG00000023228
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018996
mus_spicilegus ENSMSIG00000028797
mus_musculus ENSMUSG00000037686
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018147
mus_pahari MGP_PahariEiJ_G0029904
rattus_norvegicus ENSRNOG00000012843
meriones_unguiculatus ENSMUGG00000025264
peromyscus_maniculatus_bairdii ENSPEMG00000009783
microtus_ochrogaster ENSMOCG00000011052
cricetulus_griseus_crigri ENSCGRG00000004404
cricetulus_griseus_chok1gshd ENSCGRG00001020993
cricetulus_griseus_crigri-picr ENSCGRG00015020496
mesocricetus_auratus ENSMAUG00000015535
nannospalax_galili ENSNGAG00000016677
jaculus_jaculus ENSJJAG00000022213
