larimichthys_crocea ENSLCRG00005002801
labrus_bergylta ENSLBEG00000005831
cottoperca_gobio ENSCGOG00000001870
lates_calcarifer ENSLCAG00010027327
seriola_lalandi ENSSLDG00000010629
scophthalmus_maximus ENSSMAG00000015865
poecilia_reticulata ENSPREG00000005020
poecilia_formosa ENSPFOG00000010711
xiphophorus_maculatus ENSXMAG00000003316
cyprinodon_variegatus ENSCVAG00000009486
kryptolebias_marmoratus ENSKMAG00000000797
oryzias_latipes ENSORLG00020000787
oryzias_latipes ENSORLG00000021954
oryzias_latipes ENSORLG00015019578
oryzias_melastigma ENSOMEG00000016071
acanthochromis_polyacanthus ENSAPOG00000020440
haplochromis_burtoni ENSHBUG00000014541
astatotilapia_calliptera ENSACLG00000011048
monopterus_albus ENSMALG00000017076
betta_splendens ENSBSLG00000020408
gasterosteus_aculeatus ENSGACG00000000513
gadus_morhua ENSGMOG00000011306
ciona_intestinalis ENSCING00000001133
