pan_troglodytes ENSPTRG00000050684
pan_paniscus ENSPPAG00000039531
gorilla_gorilla ENSGGOG00000024027
pan_paniscus ENSPPAG00000029313
macaca_mulatta ENSMMUG00000008431
rhinopithecus_bieti ENSRBIG00000041113
prolemur_simus ENSPSMG00000002903
ochotona_princeps ENSOPRG00000012212
castor_canadensis ENSCCNG00000006905
dipodomys_ordii ENSDORG00000008930
cricetulus_griseus ENSCGRG00001011824
cavia_aperea ENSCAPG00000016712
cricetulus_griseus ENSCGRG00015021424
spermophilus_dauricus ENSSDAG00000002353
heterocephalus_glaber ENSHGLG00100006216
heterocephalus_glaber ENSHGLG00000010451
heterocephalus_glaber ENSHGLG00100011155
heterocephalus_glaber ENSHGLG00100012981
heterocephalus_glaber ENSHGLG00100002016
otolemur_garnettii ENSOGAG00000031772
tupaia_belangeri ENSTBEG00000009057
bos_indicus ENSBIXG00000013590
bos_indicus ENSBIXG00005023308
bos_taurus ENSBTAG00000009498
bos_mutus ENSBMUG00000006495
ovis_aries ENSOARG00000014146
capra_hircus ENSCHIG00000006638
sus_scrofa ENSSSCG00000010440
vicugna_pacos ENSVPAG00000006362
equus_caballus ENSECAG00000017012
equus_asinus ENSEASG00005012374
ursus_maritimus ENSUMAG00000012311
ursus_americanus ENSUAMG00000025107
vulpes_vulpes ENSVVUG00000001490
canis_lupus ENSCAFG00020026101
sorex_araneus ENSSARG00000013966
pteropus_vampyrus ENSPVAG00000014021
myotis_lucifugus ENSMLUG00000002665
erinaceus_europaeus ENSEEUG00000008772
canis_lupus ENSCAFG00000015670
tursiops_truncatus ENSTTRG00000016309
dasypus_novemcinctus ENSDNOG00000000929
echinops_telfairi ENSETEG00000007996
phascolarctos_cinereus ENSPCIG00000004597
vombatus_ursinus ENSVURG00010003995
notamacropus_eugenii ENSMEUG00000002838
sarcophilus_harrisii ENSSHAG00000003709
monodelphis_domestica ENSMODG00000016499
ornithorhynchus_anatinus ENSOANG00000030553
apteryx_haastii ENSAHAG00000013650
nothoprocta_perdicaria ENSNPEG00000010247
taeniopygia_guttata ENSTGUG00000004977
serinus_canaria ENSSCAG00000004001
manacus_vitellinus ENSMVIG00005006630
cyanistes_caeruleus ENSCCEG00000019885
parus_major ENSPMJG00000015381
ficedula_albicollis ENSFALG00000013108
melopsittacus_undulatus ENSMUNG00000011828
meleagris_gallopavo ENSMGAG00000001608
pelodiscus_sinensis ENSPSIG00000008864
hucho_hucho ENSHHUG00000024393
esox_lucius ENSELUG00000003315
astyanax_mexicanus ENSAMXG00000007753
astyanax_mexicanus ENSAMXG00005005170
poecilia_reticulata ENSPREG00000014089
poecilia_mexicana ENSPMEG00000022320
poecilia_formosa ENSPFOG00000015747
poecilia_latipinna ENSPLAG00000012040
xiphophorus_maculatus ENSXMAG00000012957
xiphophorus_couchianus ENSXCOG00000000553
gambusia_affinis ENSGAFG00000010616
cyprinodon_variegatus ENSCVAG00000018544
kryptolebias_marmoratus ENSKMAG00000019618
oryzias_latipes ENSORLG00020008186
oryzias_latipes ENSORLG00000006231
oryzias_latipes ENSORLG00015012760
oryzias_melastigma ENSOMEG00000006286
gouania_willdenowi ENSGWIG00000025376
tetraodon_nigroviridis ENSTNIG00000013318
takifugu_rubripes ENSTRUG00000009851
mola_mola ENSMMOG00000010070
gasterosteus_aculeatus ENSGACG00000009236
cynoglossus_semilaevis ENSCSEG00000016194
cottoperca_gobio ENSCGOG00000015116
labrus_bergylta ENSLBEG00000003705
anabas_testudineus ENSATEG00000005833
betta_splendens ENSBSLG00000023743
monopterus_albus ENSMALG00000015949
seriola_dumerili ENSSDUG00000013439
seriola_lalandi ENSSLDG00000025420
amphiprion_ocellaris ENSAOCG00000000937
amphiprion_percula ENSAPEG00000009134
acanthochromis_polyacanthus ENSAPOG00000008284
stegastes_partitus ENSSPAG00000014938
parambassis_ranga ENSPRNG00000019304
scophthalmus_maximus ENSSMAG00000020384
mastacembelus_armatus ENSMAMG00000021030
larimichthys_crocea ENSLCRG00005007373
hippocampus_comes ENSHCOG00000011538
periophthalmus_magnuspinnatus ENSPMGG00000020973
hucho_hucho ENSHHUG00000026474
hucho_hucho ENSHHUG00000030591
esox_lucius ENSELUG00000007546
astyanax_mexicanus ENSAMXG00000034893
astyanax_mexicanus ENSAMXG00005014846
pygocentrus_nattereri ENSPNAG00000002729
electrophorus_electricus ENSEEEG00000019863
ictalurus_punctatus ENSIPUG00000018017
clupea_harengus ENSCHAG00000016179
denticeps_clupeoides ENSDCDG00000030097
scophthalmus_maximus ENSSMAG00000013632
cynoglossus_semilaevis ENSCSEG00000002197
kryptolebias_marmoratus ENSKMAG00000018502
xiphophorus_couchianus ENSXCOG00000000996
larimichthys_crocea ENSLCRG00005003297
labrus_bergylta ENSLBEG00000026748
astatotilapia_calliptera ENSACLG00000016359
haplochromis_burtoni ENSHBUG00000021025
maylandia_zebra ENSMZEG00005026172
maylandia_zebra ENSMZEG00005018421
pundamilia_nyererei ENSPNYG00000017365
