dromaius_novaehollandiae ENSDNVG00000010730
calidris_pugnax ENSCPUG00000003058
gopherus_agassizii ENSGAGG00000022026
pogona_vitticeps ENSPVIG00000009280
cricetulus_griseus_crigri-picr ENSCGRG00015012139
peromyscus_maniculatus_bairdii ENSPEMG00000025775
meriones_unguiculatus ENSMUGG00000024937
rattus_norvegicus ENSRNOG00000042252
castor_canadensis ENSCCNG00000029136
theropithecus_gelada ENSTGEG00000024807
piliocolobus_tephrosceles ENSPTEG00000008173
vulpes_vulpes ENSVVUG00000007507
anser_brachyrhynchus ENSABRG00000002374
melopsittacus_undulatus ENSMUNG00000016924
chelonoidis_abingdonii ENSCABG00000020529
stegastes_partitus ENSSPAG00000003057
seriola_dumerili ENSSDUG00000013644
cyprinodon_variegatus ENSCVAG00000009393
