amphiprion_percula ENSAPEG00000011905
amphiprion_ocellaris ENSAOCG00000018916
stegastes_partitus ENSSPAG00000007237
cyprinodon_variegatus ENSCVAG00000017353
poecilia_mexicana ENSPMEG00000019738
cynoglossus_semilaevis ENSCSEG00000008038
mastacembelus_armatus ENSMAMG00000012773
scophthalmus_maximus ENSSMAG00000003170
seriola_dumerili ENSSDUG00000003979
pundamilia_nyererei ENSPNYG00000004623
monopterus_albus ENSMALG00000001898
labrus_bergylta ENSLBEG00000013699
hippocampus_comes ENSHCOG00000020917
periophthalmus_magnuspinnatus ENSPMGG00000001246
pygocentrus_nattereri ENSPNAG00000013490
astyanax_mexicanus ENSAMXG00000041533
ictalurus_punctatus ENSIPUG00000009627
danio_rerio ENSDARG00000068182
