seriola_dumerili ENSSDUG00000018449
seriola_lalandi_dorsalis ENSSLDG00000021071
scophthalmus_maximus ENSSMAG00000007987
anabas_testudineus ENSATEG00000002207
labrus_bergylta ENSLBEG00000022698
gasterosteus_aculeatus ENSGACG00000010567
amphiprion_ocellaris ENSAOCG00000024467
amphiprion_percula ENSAPEG00000016584
acanthochromis_polyacanthus ENSAPOG00000011247
stegastes_partitus ENSSPAG00000004432
poecilia_latipinna ENSPLAG00000012172
poecilia_formosa ENSPFOG00000007520
poecilia_mexicana ENSPMEG00000017122
poecilia_reticulata ENSPREG00000005692
xiphophorus_maculatus ENSXMAG00000023321
xiphophorus_couchianus ENSXCOG00000016569
gambusia_affinis ENSGAFG00000009490
cyprinodon_variegatus ENSCVAG00000007423
kryptolebias_marmoratus ENSKMAG00000007413
oryzias_latipes_asm223469v1 ENSORLG00015022482
oryzias_latipes ENSORLG00000021873
oryzias_latipes ENSORLG00020008005
oryzias_melastigma ENSOMEG00000007659
maylandia_zebra ENSMZEG00005013662
oreochromis_niloticus ENSONIG00000011803
cynoglossus_semilaevis ENSCSEG00000015309
takifugu_rubripes ENSTRUG00000000973
pundamilia_nyererei ENSPNYG00000014082
astatotilapia_calliptera ENSACLG00000006971
haplochromis_burtoni ENSHBUG00000014029
neolamprologus_brichardi ENSNBRG00000000313
amphilophus_citrinellus ENSACIG00000007516
mola_mola ENSMMOG00000005508
mastacembelus_armatus ENSMAMG00000011123
monopterus_albus ENSMALG00000008089
hippocampus_comes ENSHCOG00000019088
gadus_morhua ENSGMOG00000017219
esox_lucius ENSELUG00000000740
pygocentrus_nattereri ENSPNAG00000005454
astyanax_mexicanus ENSAMXG00000014591
ictalurus_punctatus ENSIPUG00000013820
danio_rerio ENSDARG00000024687
