ursus_maritimus ENSUMAG00000024911
ursus_americanus ENSUAMG00000010171
ailuropoda_melanoleuca ENSAMEG00000012727
neovison_vison ENSNVIG00000008920
mustela_putorius_furo ENSMPUG00000002527
canis_lupus_familiaris ENSCAFG00000024964
canis_lupus_dingo ENSCAFG00020012532
vulpes_vulpes ENSVVUG00000029648
equus_asinus_asinus ENSEASG00005022356
equus_caballus ENSECAG00000027752
equus_caballus ENSECAG00000030411
equus_asinus_asinus ENSEASG00005022354
equus_asinus_asinus ENSEASG00005022329
equus_caballus ENSECAG00000029114
equus_asinus_asinus ENSEASG00005022362
prolemur_simus ENSPSMG00000004162
