papio_anubis ENSPANG00000033260
mandrillus_leucophaeus ENSMLEG00000025269
theropithecus_gelada ENSTGEG00000017553
macaca_fascicularis ENSMFAG00000011034
macaca_nemestrina ENSMNEG00000042237
rhinopithecus_bieti ENSRBIG00000037056
pan_troglodytes ENSPTRG00000047634
pan_paniscus ENSPPAG00000032162
gorilla_gorilla ENSGGOG00000027156
pongo_abelii ENSPPYG00000018608
piliocolobus_tephrosceles ENSPTEG00000037715
castor_canadensis ENSCCNG00000008249
tursiops_truncatus ENSTTRG00000012994
vicugna_pacos ENSVPAG00000007574
bison_bison_bison ENSBBBG00000007573
bos_mutus ENSBMUG00000011795
ursus_americanus ENSUAMG00000026506
ursus_maritimus ENSUMAG00000009802
